file,prefix,caption,root_class,field_count,enter_count,num_count,date_count,combo_count,check_count,tab_count,grid_count,total_controls
T7MRB.DFM,T7MR,MR-B,TEditForm1,13,2,0,2,8,1,0,0,42
T7MRC.DFM,T7MR,New Screen,TEditForm1,16,1,0,2,9,4,0,0,45
T7MRD.DFM,T7MR,New Screen,TEditForm1,52,12,14,0,12,14,0,0,134
T7MRE.DFM,T7MR,New Screen,TEditForm2,10,3,0,0,7,0,0,0,35
T7MRF.DFM,T7MR,MR-F,TEditForm1,41,19,1,1,2,18,0,0,91
T7MRG.DFM,T7MR,MR-G,TEditForm1,25,5,1,2,12,5,0,0,61
T7MRH.DFM,T7MR,MR-H,TEditForm1,32,7,1,4,14,6,0,0,91
T7MRI.DFM,T7MR,MR-I,TEditForm1,24,11,0,4,8,1,0,0,58
T7MRIR.DFM,T7MR,Review QTY'#39's,TEditForm2,5,2,1,2,0,0,0,0,13
T7MRIX.DFM,T7MR,New Screen,TEditForm2,18,9,5,1,4,0,0,0,52
T7MRJ.DFM,T7MR,MR-J,TEditForm1,29,6,1,6,9,7,0,0,77
T7MRJR.DFM,T7MR,MR-J Review,TEditForm5,10,3,2,4,1,0,0,0,24
T7MRJX.DFM,T7MR,,TImageList,0,0,0,0,0,0,0,0,1
T7MRL.DFM,T7MR,MR-L,TEditForm1,3,0,1,0,1,1,0,0,22
T7MRN.DFM,T7MR,MR-N,TEditForm1,5,0,1,0,3,1,0,0,23
T7MRO.DFM,T7MR,MR-O,TEditForm1,1,0,0,0,1,0,0,0,17
T7MULTIYIELD.DFM,T7MU,,TImageList,0,0,0,0,0,0,0,0,1
T7NEWINIT.DFM,T7NE,New Screen,TEditForm1,1,0,0,0,1,0,0,0,17
T7numdef.DFM,T7NU, Next Numbers,TEditForm1,21,0,21,0,0,0,0,0,55
T7PASS.DFM,T7PA,Password,TEditForm2,1,2,0,0,0,0,0,0,5
T7Paperless.DFM,T7PA,Paperless Shop Floor,TEditForm1,41,36,1,0,2,0,0,0,119
t7packmenu.DFM,T7PA,Pack Menu,TEditForm1,2,0,0,0,0,2,0,0,7
T7PIA.DFM,T7PI,PI-A Capture Frozen Inventory,TEditForm1,31,15,0,1,10,3,0,0,65
T7PIB.DFM,T7PI,PI-B Frozen Inventory Report,TEditForm1,10,3,0,0,2,5,0,0,34
T7PIC.DFM,T7PI,,TImageList,0,0,0,0,0,0,0,0,1
T7PICA.DFM,T7PI,PI-C-A  Physical Inventory Exception Report,TEditForm3,6,3,0,0,2,1,0,0,26
T7PID.DFM,T7PI,PI-D  Missing Tags Report,TEditForm1,4,1,0,0,3,0,0,0,28
T7PIE.DFM,T7PI,,TImageList,0,0,0,0,0,0,0,0,1
