code,module,description,sources
SR-D,SR,Print S/R Pick Ticket,ISSRD;T6ISSRD
SR-E,SR,Release Service/Repair Orders,ISSRE
SR-F,SR,Print/Reprint S/R Invoices,ISSRF;T6ISSRF
SR-G,SR,Post Service/Repair Invoices,ISSRG
SR-H,SR,Convert RMA Orders,ISSRH
SR-T,SR,View Service/Repair Orders,ISSRA;ISSRA2;j6btsra
UT-A,UT,Run a DBA Program,BKUTA
UT-B,UT,Run a Non-DBA Program,BKUTB
UT-C,UT,Re-Index File,BKUTC
UT-D,UT,Edit Data Location File,BKUTD
UT-E,UT,Set System Configuration,BKUTE
UT-F,UT,Change DOS Color,BKUTF;BKUTMW
UT-H,UT,Print File Layouts,BKUTH;T6UTH
UT-I,UT,Create/Delete Company,BKUTI;ISFLOC;t6uti
UT-J,UT,Generate DDF Files,BKUTJ
UT-K,UT,Export Data,BKUTK
UT-K-A,UT,Clear Data,BKUTKA;t6utka
UT-K-B,UT,Global Field Replace,BKUTKB
UT-K-C,UT,Edit GL Detail File,BKUTKC
UT-K-D,UT,Recalculate GL Chart of Accounts,BKUTKD
UT-K-E,UT,Consolidate Inventory Locations,BKUTKE
UT-K-F,UT,Set Avg and Last Costs to Std Cost,AUTOUTKF;BKUTKF
UT-K-G,UT,Recalculate Inventory Book Value,AUTOUTKG;BKUTKG
UT-K-H,UT,Recalculate Average Cost from FIFO/LIFO Buckets,BKUTKH
UT-K-I,UT,Fix Binary Zeroes,AUTOUTKI;BKUTKI
UT-L,UT,Set Screen Color,BKUTFW
WC-A,WC,Enter Warehouse Bin Locations,ISWCA
WC-B,WC,Assign Warehouse Control,ISWCB
WC-C,WC,Assign Bin Locations to Items,ISWCC;t6iswcc
WC-D,WC,Import Bin Locations for Items,ISWCD
WC-E,WC,Print Bin Inventory Listing,ISWCE;T6ISWCE
WC-F,WC,Warehouse Control Exceptions Report,ISWCF;T6ISWCF
WO-A,WO,Enter Work Orders,BKWOA;ISTECH;ISWORPT1
WO-A-A,WO,Enter Work Orders - ECO Drawing Entry,BKWOA
WO-B,WO,Change WO Status,BKWOB;ISWORPT2
WO-C,WO,Special Work Order Report,J5SMRPT3
WO-D,WO,Print Pick Lists,BKWOD
WO-E,WO,Print Labor Cards/Labels,BKWOE;T6WOE
WO-F,WO,Enter Labor,BKWOF
WO-G,WO,Enter WO BOM,BKWOG;BKWOKB;ISWOG
WO-H,WO,Enter Misc/Extra Costs,BKWOH
WO-I,WO,Enter Finished Production,BKWOFA;BKWOI;BKWOIP~1;ISMULTIY;ISTECH
WO-J,WO,Rebuild Work Orders,BKREBWO;BKWOJ;ISTECH
WO-K-A,WO,Enter Work Order Routings,BKWOKA
WO-K-B,WO,Enter WO BOM,BKWOKB
WO-K-C,WO,Create Multi-Date Work Orders,BKWOKC
WO-K-D,WO,Create Multi-Assy Work Orders,BKWOKD
WO-K-E,WO,Swap Substitute Parts,BKWOKE
WO-K-F,WO,Edit Sequence Started/Finished Dates,BKWOKF
WO-K-G,WO,Recalculate Projected Hours,BKWOKG
WO-K-L,WO,Quick Work Orders,NZQWO
WO-L-A,WO,Print Work Order Status,t6wola
WO-L-C,WO,Print Work Center Backlog,BKWOLC
WO-L-D,WO,Print Projected Shipments,BKWOLD
WO-L-E,WO,Print/Post Labor to Payroll,BKWOLE
WO-L-F,WO,Print Work Order Shortage,BKWOLF;t6wolf
WO-L-G,WO,Print Work Center by Key Component,BKWOLG
WO-L-H,WO,Print Projected Hours Report,BKWOLH
WO-L-I,WO,Print Allocations,BKWOLI
WO-L-J,WO,Print Finished Work Order Report,ISWOLJ
WO-M,WO,Batch Labor Entry,BKDCG;BKDCGMSG;CBKWOM;J5HDWOM
WO-N,WO,Post Labor Batches,AUTODCH;BKDCH;UMCDCP
WO-Q,WO,Convert Work Orders to Purchase Orders,CAWOPO;ISWOPO
