YN_INDEX,TAB,LABEL,OBJ_TYPE,OPTIONS,LINE
222,"Setup","PO-Q  Allow Entry to Quantity","TTASENTER","",5365
223,"Setup","PO-Q  Allow Entry to Quantity","TTASENTER","",5328
225,"Processing","SO-A: Pull XREF from Ship To Customer [Y/N/B]","TTASENTER","",24042
228,"Setup","DC-A/DC-B/DC-G/WO-M: Default for Scrap Prompt [Y/N]","TTASENTER","",10674
229,"Setup","DC-A/DC-B/DC-G/WO-M: Default for Scrap Prompt [Y/N]","TTASENTER","",10637
230,"Acct. Receivables","Password for Pi Payment","TTASENTER","",29898
231,"Setup","SOE: Enter BOL Info for EDI?","TTASENTER","",19458
237,"Scheduling","Display machine prompt in Enter Labor?","TTASENTER","",10210
238,"Setup","SOE: Enter BOL Info for EDI?","TTASENTER","",19926
239,"Setup","SOE: Enter BOL Info for EDI?","TTASENTER","",19494
240,"Estimates","ES-B/SO-A/SOP-A: Prevent Active Status S Items","TTASENTER","",14168
241,"Printing","Prevent printing of POs not Digitally Signed?","TTASENTER","",9090
242,"Printing","Prevent printing of POs not Digitally Signed?","TTASENTER","",9126
243,"Printing","Sales Order RTM","TTASENTER","",25830
244,"Printing","Sales Order RTM","TTASENTER","",25794
245,"Printing","Sales Order RTM","TTASENTER","",25758
246,"Printing","Sales Order RTM","TTASENTER","",25722
247,"Acct. Receivables","Password for Pi Payment","TTASENTER","",29862
248,"MRP","Use Sequence Start Date as Need Date in MR-F","TTASENTER","",9722
