IS_JAVA_UID,IS_JAVA_PARAM_1,IS_JAVA_PARAM_2,IS_JAVA_PARAM_3,IS_JAVA_PARAM_4,IS_JAVA_PARAM_5,IS_JAVA_PARAM_6,IS_JAVA_PARAM_7,IS_JAVA_PARAM_8,IS_JAVA_PARAM_9,IS_JAVA_PARAM_10,IS_JAVA_PARAM_11,IS_JAVA_PARAM_12,IS_JAVA_PARAM_13,IS_JAVA_PARAM_14,IS_JAVA_PARAM_15,IS_JAVA_PARAM_16,IS_JAVA_PARAM_17,IS_JAVA_PARAM_18,IS_JAVA_PARAM_19,IS_JAVA_PARAM_20,IS_JAVA_PARAM_21,IS_JAVA_PARAM_22,IS_JAVA_PARAM_23,IS_JAVA_PARAM_24,IS_JAVA_PARAM_25,IS_JAVA_DATE
BSCHIBI070004A20240715,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-15
BSCHIBI070454A20240730,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-30
BSCHIBI070625A20240820,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-20
BSCHIBI070918A20240806,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-06
BSCHIBI071514A20231027,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-27
BSCHIBI072106A20240405,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-05
BSCHIBI072409A20240209,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-09
BSCHIBI072415A20231004,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-04
BSCHIBI072609A20231026,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-26
BSCHIBI072755A20230629,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
BSCHIBI073138A20230825,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-25
BSCHIBI073425A20230508,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08
BSCHIBI073434A20240103,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-03
BSCHIBI074046A20230530,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-30
BSCHIBI074221A20230619,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-19
BSCHIBI074407A20220504,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-04
BSCHIBI074424A20230417,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-17
BSCHIBI074428A20221130,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-30
BSCHIBI074552A20230313,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13
BSCHIBI074612A20230227,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-27
