LOC_BUFF_N,LOC_FILE_N,LOC_COMP_C,LOC_REC_SI,LOC_REC_TY,LOC_LOCATI,LOC_DESCRI
BKAPDESC,BKRFQDES,B,120,B,DEFAULT\,
BKAPDESC,BKRFQDES,B99,120,B,TESTDATA\,
BKAPDESC,BKSONOTE,B,120,B,DEFAULT\,
BKAPDESC,BKSONOTE,B99,120,B,TESTDATA\,
BKAPDESC,ISARADSC,B,120,B,DEFAULT\,
BKAPDESC,ISARADSC,B99,120,B,TESTDATA\,
BKAPDESC,ISARAHDS,B,120,B,DEFAULT\,
BKAPDESC,ISARAHDS,B99,120,B,TESTDATA\,
BKAPDESC,ISRFQADS,B,120,B,DEFAULT\,
BKAPDESC,ISRFQADS,B99,120,B,TESTDATA\,
BKAPDESC,ISRMADSC,B,120,B,DEFAULT\,
BKAPDESC,ISRMADSC,B99,120,B,TESTDATA\,
BKAPDESC,ISRMDESC,B,120,B,DEFAULT\,
BKAPDESC,ISRMDESC,B99,120,B,TESTDATA\,
BKAPDESC,ISSRADSC,B,120,B,DEFAULT\,
BKAPDESC,ISSRADSC,B99,120,B,TESTDATA\,
BKAPDESC,ISSRDESC,B,120,B,DEFAULT\,
BKAPDESC,ISSRDESC,B99,120,B,TESTDATA\,
BKAPDESC,ISWODESC,B,120,B,DEFAULT\,
BKAPDESC,ISWODESC,B99,120,B,TESTDATA\,
BKAPDESC,ISWOHDSC,B,120,B,DEFAULT\,
BKAPDESC,ISWOHDSC,B99,120,B,TESTDATA\,
BKAPDESC,NOTETEMP,B,120,B,DEFAULT\,
BKAPDESC,NOTETEMP,B99,120,B,TESTDATA\,
BKAPINVL,BKAPINVL,B,3756,B,DEFAULT\,
BKAPINVL,BKAPINVL,B99,3756,B,TESTDATA\,
BKAPINVL,BKAPRIVL,B,3756,B,DEFAULT\,
BKAPINVL,BKAPRIVL,B99,3756,B,TESTDATA\,
BKAPINVL,ISAPAINL,B,3756,B,DEFAULT\,
BKAPINVL,ISAPAINL,B99,3756,B,TESTDATA\,
BKAPINVT,BKAPEIVT,B,175,B,DEFAULT\,
BKAPINVT,BKAPEIVT,B99,175,B,TESTDATA\,
BKAPINVT,BKAPINVT,B,175,B,DEFAULT\,
BKAPINVT,BKAPINVT,B99,175,B,TESTDATA\,
BKAPINVT,ISAPAINT,B,175,B,DEFAULT\,
BKAPINVT,ISAPAINT,B99,175,B,TESTDATA\,
BKAPNOTE,BKAPNOTE,B,642,B,DEFAULT\,
