table,pk_segment,pk_field,field_type,field_size,flags
BKESTCFG,1,BKEST_CFG_NUM,2,8,DUP
BKESTQT,1,BKAR_INV_NUM,2,8,DUP
BKESTQTL,1,BKAR_INVL_INVNM,2,8,DUP
BKFLDHLP,1,HLP_CODE,0,17,DUP
BKFLDHLP,2,HLP_INDEX,14,2,DUP
BKFOCFG,1,BKFO_CFG_MANFET,0,1,DUP
BKGLACHK,1,BKGL_CHK_CHKACT,14,2,DUP
BKGLACHK,2,BKGL_CHK_NUM,2,8,DUP
BKGLAGJL,1,BKGL_GJL_TRANSN,2,8,DUP
BKGLAGJR,1,BKGL_GJ_TRANSDT,3,4,DUP
BKGLATRN,1,BKGL_TRN_GLACCT,0,10,DUP
BKGLATRN,2,BKGL_TRN_GLDPT,0,4,DUP
BKGLATRN,3,BKGL_TRN_DATE,3,4,DUP
BKGLCCOA,1,BKGLC_ACCT,0,10,DUP
BKGLCHK,1,BKGL_CHK_CHKACT,14,2,DUP
BKGLCHK,2,BKGL_CHK_NUM,2,8,DUP
BKGLCOA,1,BKGL_ACCT,0,10,DUP
BKGLDESC,1,BK_DESC_CODE,0,15,DUP
BKGLECOA,1,BKGL_ACCT,0,10,DUP
BKGLETRN,1,BKGL_TRN_GLACCT,0,10,DUP
BKGLETRN,2,BKGL_TRN_GLDPT,0,4,DUP
BKGLETRN,3,BKGL_TRN_DATE,3,4,DUP
BKGLFCOA,1,BKGL_ACCT,0,10,DUP
BKGLFSTL,1,BKFS_NAME,0,10,DUP
BKGLFSTL,2,BKFS_LINE_NUM,14,2,DUP
BKGLGJLN,1,BKGL_GJL_TRANSN,2,8,DUP
BKGLGJRN,1,BKGL_GJ_TRANSDT,3,4,DUP
BKGLHIST,1,BKGL_TRN_GLACCT,0,10,DUP
BKGLHIST,2,BKGL_TRN_GLDPT,0,4,DUP
BKGLHIST,3,BKGL_TRN_DATE,3,4,DUP
BKGLICC,1,BKGL_CHK_CHKACT,14,2,DUP
BKGLICC,2,BKGL_CHK_NUM,2,8,DUP
BKGLRGJL,1,BKGL_GJL_TRANSN,2,8,DUP
BKGLRGJR,1,BKGL_GJ_TRANSDT,3,4,DUP
BKGLSTMT,1,BKGL_STB_MN_TTL,0,25,
BKGLTEMP,1,BKGL_TRN_GLACCT,0,10,DUP
