code,module,description,rwn/run_modules,dfm_forms,help_title
BM-F,BM,Global Delete,BKBMF,T7BMF.DFM,Global Delete
BM-G,BM,IN-B     IN-L-A     SO-Q-,AUTOBMG;BKBMG;ISSMJS,T7BMG.DFM,Print Rollup Standard Costs
BM-H,BM,Print BOM at Average Cost,BKBMH;BKBMH1,T7BMH.DFM,Print Bom At Average Cost
BM-I,BM,Print Summarized BOM,BKBMI,T7BMI.DFM,
BM-J,BM,Enter Approved Substitutes,BKBMJ,T7BMJ.DFM,Enter Approved Substitutes
BM-J-C,BM,Enter Approved Manufacturers,BKBMJC,,
BM-K,BM,Enter Approved Vendors,,,Enter Approved Vendors
BM-L,BM,Enter Approved Manufacturers,,,Enter Approved Manufacturers
BM-N,BM,Bom Availability Tree,,,Bom Availability Tree
BM-P,BM,Print Bom Pick List,,,Print Bom Pick List
BM-Q,BM,Roll Up Where Used,,,Roll Up Where Used
BM-R,BM,Print Bom For Quoting,,,Print Bom For Quoting
BM-X,BM,BOM report,BKBMX,,
CM-A,CM,Enter Contact Accounts,,,Enter Contact Accounts
CM-B-B,CM,Print Accounts Listing Labels,,,Print Accounts Listing Labels
CM-B-C,CM,Print Reminders,,,Print Reminders
CM-B-F,CM,Print Account History,,,Print Account History
CM-C,CM,Opportunity Dashboard,,,Opportunity Dashboard
CM-J,CM,Change Account Code,,,Change Account Code
CM-K,CM,Add Customers To Account File,,,Add Customers To Account File
CM-L,CM,Enter Form Letters,,,Enter Form Letters
CR-A,CR,Assign Departments To Sales Orders,,,Assign Departments To Sales Orders
CR-B,CR,View Enter So Approvals,,,View Enter So Approvals
CS-A,CS,Enter Salespersons,BKCSA,T7CSA.DFM,Enter Salespersons
CS-B,CS,Enter Vendors,BKAPA;BKCSB;BKPOP,T7CSB.DFM,View Salesperson Info
CS-C,CS,Print Salespersons Info,BKCSC,T7CSC.DFM,Print Salespersons Info
CS-D,CS,Transfer Sales Commissions,BKCSD,T7CSD.DFM;T7CSDE.DFM;T7CSDO.DFM;T7CSDX.DFM,Transfer Sales Commissions
CS-E,CS,Print Commission Detail,BKCSE;BKCSE1,T7CSE.DFM,Print Commission Detail
CS-F,CS,Print Commission Summary,BKCSF,T7CSF.DFM,Print Commission Summary
CS-G,CS,Print Slsp1 Commission Detail,BKCSG,,Enter Sales Rep Links
CS-H,CS,Print Slsp1 Commission Summary,BKCSH,,Import Sales Rep Links
CS-I,CS,Print Slsp2 Commission Detail,BKCSI,T7CSI.DFM,
CS-J,CS,Print Slsp2 Commission Summary,BKCSJ,,
CS-K,CS,Enter Price Code Commissions,,,Enter Price Code Commissions
CS-L,CS,Print Price Code Commissions,BKINMI,,Print Price Code Commissions
CS-M,CS,Enter Contract Commissions,,,Enter Contract Commissions
CS-N,CS,Print Contract Price Commissions,BKINMI,,Print Contract Commissions
CS-O,CS,Print Commission Earned Detail,BKCSOC;BKCSOI,T7CSO.DFM,Print Commissions Earned Detail
CS-P,CS,Print Commissions Due Summary,BKCSP,T7CSP.DFM,Print Commissions Due Summary
CS-Q,CS,Commission Year End Routine,bkcsq.run,,Commission Year End Routine
CS-R,CS,View Salespersons Booking Info,j6crprbk,,
DC-A,DC,Print Transfer Labels,J5ISDCA;J6ISDCA,T7DCA.DFM;T7DCA2.DFM;T7DCALabel.DFM;T7DCANotes.DFM;T7DCAPstdLab.dfm,Enter Labor Production
DC-B,DC,Enter Production Only,,,Enter Production Only
DC-C,DC,Enter Labor Only,,,Enter Labor Only
DC-D,DC,View/Print Labor Status,BKDCD;t6dcd,T7DCD.DFM,Print Labor Status
DC-E,DC,Print Labor Tickets,BKDCE;T6DCE,T7DCE.DFM,Print Labor Tickets
DC-F,DC,Print Employee Tickets,BKDCF;T6DCF,T7DCF.DFM,Print Employee Tickets
DC-G,DC,Edit Labor Transactions,BKDCG;BKDCGMSG;CBKWOM;J5HDWOM,T7DCG.DFM,Edit Labor Transactions
DC-H,DC,Filelock on TOOL -,AUTODCH;BKDCH;UMCDCP,T7DCH.DFM,Post Labor Transactions
DC-I,DC,View,BKDCI,t7DCina.DFM,Work Order Inquiry
DC-K,DC,Archive Or Purge Shift Re,,,Archive Or Purge Shift Re
DC-L,DC,Shift Clock In Out,,,Shift Clock In Out
DC-M,DC,Employee Dashboard,,,Employee Dashboard
DC-N,DC,Enter Holiday Shift Recor,,,Enter Holiday Shift Recor
DE-A,DE,Export Data,BKDEA,,Sql Query Export
DE-B,DE,Import Inventory,BKDEB,,Import Inventory
DE-C,DE,Import Bills of Material,BKDEC,,Import Bills Of Material
DE-D,DE,Import Routings,BKDED,,Import Routings
DE-E,DE,Import Customers,BKDEE,T7DEER.DFM,Import Customers
DE-F,DE,Import Vendors,BKDEF,T7DEFECT.DFM,Import Vendors
DE-G,DE,Import Chart of Accounts,BKDEG,,Import Chart Of Accounts
DE-H,DE,Import Labor,BKDEH,T7DEHD.DFM,Global Field Change
