code,module,description,rwn/run_modules,dfm_forms,help_title
MR-H,MR,Print Order Action Report,BKMRH,T7MRH.DFM,Print Order Action Report
MR-I,MR,Generate Work Orders,BKMRI,T7MRI.DFM;T7MRIR.DFM;T7MRIX.DFM,Generate Work Orders
MR-J,MR,Generate Purchase Orders,BKMRJ;BKMRK,T7MRJ.DFM;T7MRJR.DFM;T7MRJX.DFM,Generate Purchase Orders
MR-K,MR,Generate RFQ's,BKMRJ;BKMRK,,Generare Rfqs
MR-L,MR,Print Planned Orders Report,BKMRL,T7MRL.DFM,Print Planned Orders Report
MR-N,MR,Apply Delay Action To Pos,,,Apply Delay Action To Pos
PI-A,PI,Frozen Inventory Report,BKPIA;BKPIB,T7PIA.DFM,Capture Frozen Inventory
PI-B,PI,Frozen Inventory Report,BKPIB,T7PIB.DFM,Frozen Inventory Report
PI-C,PI,Enter Tag Counts,BKPIC,T7PIC.DFM;T7PICA.DFM,Enter Tag Counts
PI-C-A,PI,Physical Inventory Exception Report,BKPICA;T6PICA,T7PICA.DFM,
PI-D,PI,Missing Tags Report,BKPID,T7PID.DFM,Print Missing Tags
PI-E,PI,Edit Frozen Inventory Costs,BKPIE,T7PIE.DFM,Edit Frozen Inventory Costs
PI-F,PI,Physical Inventory Report,BKPIF;T6PIF,T7PIF.DFM,Physical Inventory Report
PI-G,PI,Update Actual Inventory,BKPIF;BKPIG;T6PIF,T7PIG.DFM,Update Actual Inventory
PI-H,PI,Purge Physical Inventory,BKPIF;BKPIH;T6PIF,T7PIH.DFM,Purge Physical Inventory
PL-D,PL,Import Employees,BKPLD,,
PL-E,PL,Payroll Software Link Setup,BKPLE,T7PLessComps.DFM;T7PLessNotes.DFM;T7PLessWODates.DFM,
PO-A,PO,Enable UPC Numbers,BKPOA;BKPOA1;ISTECH;T6POA,T7POA.DFM;T7POA2.DFM;T7POAC.DFM;T7POACPY.DFM;T7POAE.DFM;T7POAIMPLINES.DFM;T7POAPrBrk.DFM;T7POAVITEM.DFM,Enter Purchase Orders
PO-B,PO,Print Purchase Orders,BKPOB;T6POB,T7POB.DFM,Print Purchase Orders
PO-C,PO,P/O Lot Control,BKPOC;BKPOCLOT;BKPOCSER;ISPOC;ISTECH,t7poc.DFM,Receive Purchase Orders
PO-D,PO,View PO Receivers,BKPOA;BKPOA1;T6POA,,View Po Receivers
PO-E,PO,Copy RFQs,BKPOA;BKPOA1;T6POA,T7POEA.DFM;T7POENG.DFM,Enter Print Rfqs
PO-E-A,PO,Request for Quote (Universal),BKPOEA;T6POEA,T7POEA.DFM,
PO-F,PO,Enter Verbal RFQs,BKPOF,T7POF.DFM,Enter Verbal Rfqs
PO-G,PO,Convert RFQs,BKPOG,T7POG.DFM,Convert Rfqs
PO-H,PO,Enter Vendor Prices,BKPOH;t6poh,T7POH.DFM,Enter Vendor Prices
PO-I-A,PO,Print Open Purchase Orders Listing,BKPOENG;T6POENG,,Print Open Purchase Orders Listing
PO-I-B,PO,Print Closed Purchase Orders Listing,BKPOENG;T6POENG,,Print Closed Purchase Orders Listing
PO-I-C,PO,Print RFQ Status,BKPOIC,T7POIC.DFM,Print Rfq Status
PO-I-D,PO,Print Vendor Prices,BKPOID,T7POID.DFM,Print Vendor Prices
PO-I-E,PO,Print Receiving Report,BKPOENG;JCPOIE2;PCONRPT;T6POENG,,Print Receiving Report
PO-I-F,PO,Print Received not Invoiced,BKPOENG;T6POENG,,Print Received Not Invoiced
PO-I-G,PO,Print Purchase Order Items by Due Date,BKPOIG,T7POIG.DFM,Print Purch Order Items
PO-I-H,PO,Vendor Performance,t6poih,T7POIH.DFM,Vendor Performance Report
PO-I-I,PO,Print Purchase Order Changes,ISPOII,T7POII.DFM,
PO-I-J,PO,Print Vendor Purchase History,J6POIJ,,
PO-J-A,PO,Print Receipt Travelers,BKPOJA;T6POJA,T7POJA.DFM,Print Receipt Travelers
PO-J-B,PO,Print Inventory in QC,BKPOJB,T7POJB.DFM,Printinventory In Qc
PO-J-C,PO,Enter Inspection Buyoffs,AUTOPOJC;BKPOJC,T7POJC.DFM;T7pojcqc.DFM;T7pojcsc.DFM,Enter Inspection Buyoffs
PO-J-D,PO,Close PO's,BKPOJD,T7POJD.DFM,
PO-K,PO,Close Purchase Orders,BKPOK,T7POK.DFM,Close Purchase Orders
PO-L,PO,Assign Vendors To Items,,,Assign Vendors To Items
PO-M,PO,Purchase Order Inquiry,BKPOM,T7POM.DFM;T7POMAST.DFM,Purchase Order Inquiry
PO-P,PO,View Vendors,BKPOP,T7POP.DFM;T7POPGET.DFM,View Vendor Information
PO-Q,PO,Maintain PO Delivery Dates,BKPOQ,t7POQ.DFM,Print Receiving Slip
PO-R,PO,Print Receiving Slip,T6POB,,Print Receiving Slip Evo Erp 
PO-T,PO,Print PO Stock Item Packing List,T6POB,,Digitally Sign Purchase Order
PR-A,PR,Edit W-2 Data,BKPRA;BKPRP;BKPRQ,T7PRA.DFM,Enter Employees
PR-B,PR,Enter Pay Info,BKPRB;BKPRD;t6prd,T7PRB.DFM,Enter Pay Info
PR-C,PR,Print Payroll Register,BKPRC,T7PRC.DFM,Print Payroll Register
PR-D,PR,Print Payroll Checks,BKPRB;BKPRD;t6prd,T7PRD.DFM;T7PRDIVFIX.DFM,Print Payroll Checks
PR-E,PR,Print Employee Info,BKPRE,T7PRE.DFM;t7pretag.DFM,Print Employe Information
PR-F,PR,Maintain Tax Tables,BKPRF,T7PRF.DFM;T7PRFIX.DFM,Maintain Tax Tables
PR-G,PR,Void Payroll Checks,BKPRG,T7PRG.DFM,Void Payroll Check
PR-H,PR,Transfer Liabilities to AP,BKPRH,T7PRH.DFM,Transfer Liabilities To Ap
PR-I,PR,Print Pay History,BKPRI,T7PRI.DFM,Print Pay History
PR-J,PR,Enter Time Cards,BKPRJ;BKPRJA;BKPRJB,T7PRJ.DFM;T7PRJCSYNC.DFM,Enter Time Cards
PR-J-A,PR,Import Time Cards,ISPRJDE,,
PR-K,PR,Print/Post Time Cards,BKPRK,T7PRK.DFM,Print Post Time Cards
PR-L-A,PR,Print Quarterly Info,BKPRLA,T7PRLA.DFM,Print Quarterly Info
PR-L-B,PR,Print QTD Earnings Register,BKPRLB,T7PRLB.DFM,Print Qtd Earnings Register
PR-L-C,PR,Print QTD Taxable Earnings,BKPRLC,T7PRLC.DFM,Print Qtd Taxable Earnings
PR-L-D,PR,Print Detail Earnings Ledger,BKPRLD,T7PRLD.DFM,Print Detail Earnings Ledger
PR-L-E,PR,Print Detail Deductions Ledger,BKPRLE,T7PRLE.DFM,Print Detail Deductions Ledger
PR-L-F,PR,Print Subject To Report,BKPRLF;T6PRLF,T7PRLF.DFM,Print Subject To Report
PR-L-G,PR,Print 941 And Schedule B Reports,,,Print 941 And Schedule B Reports
PR-L-H,PR,Print 940 Report,BKPRLH,T7PRLH.DFM,Print 940 Form
PR-L-I,PR,Print W-2 Forms,BKPRLI;T6PRLI,T7PRLI.DFM,
PR-L-J,PR,Print California DE6 Form,BKPRLJ,T7PRLJ.DFM,
PR-L-K,PR,Print Payroll Hours,BKPRLK,T7PRLK.DFM,Print Payroll Hours
PR-L-L,PR,Print 941B Forms,,,Print 941B Forms
PR-L-M,PR,Print Employer Contributions,BKPRLM,T7PRLM.DFM,Print Employer Contributions
PR-L-N,PR,Print Payroll Wages Detail,BKPRLN,T7PRLN.DFM,Print Payroll Wages Detail
PR-L-P,PR,Print Employee Raises,BKPRLP;BKPRLQ,T7PRLP.DFM,Print Employee Raises
PR-L-Q,PR,Print Employee Reviews,,,Print Employee Reviews
PR-M,PR,Payroll Defaults,BKPRM,T7PRM.DFM,Payroll Division Defaults
PR-N,PR,Purge Payroll History,BKPRN,T7PRN.DFM,Purge Payroll History
PR-O,PR,Payroll Year End Routine,BKPRO,T7PRO.DFM;T7PROGINFO.DFM;T7ProcessData.DFM,Year End Routine
PR-P,PR,Enter Employee Raises,BKPRP;BKPRQ,T7PRP.DFM,Enter Raise Dates
PR-Q,PR,Enter Review Dates,,,Enter Review Dates
PR-R,PR,Payroll Defaults,,,Payroll Defaults
PR-S,PR,Assign Password To Employ,,,Assign Password To Employ
PS-A,PS,System Users/Passwords,BKPSA,T7PSA.DFM,System Users Passwords
PS-B,PS,System Security Levels,BKPSB,,
PS-C,PS,Company Logon Access,BKPSC,,
PS-E,PS,System Manager Security,BKPSE,T7PSE.DFM;T7PSEGRP.DFM;T7PSEITM.DFM,Evo Menu Access By User R
PS-F,PS,Enter Users/Passwords,BKPSF,T7PSF.DFM,Evo Menu Access By Progra
PS-G,PS,Maintain Menu Access,,,Maintain Menu Access
PS-I,PS,Enter Digital Signers For Po,,,Enter Digital Signers For Po
PS-J,PS,Enter Contract Review Signers,,,Enter Contract Review Signers
QC-A,QC,Quality Control Receiving,,,Quality Control Receiving
QC-B,QC,Quality Control Materials,,,Quality Control Materials
QC-C,QC,Production Scrap Report,,,Production Scrap Report
QC-D,QC,Quality Control Labor Rep,,,Quality Control Labor Rep
QC-E,QC,Vendor Quality Perfirmanc,,,Vendor Quality Perfirmanc
QC-F-A,QC,Enter Ncr,,,Enter Ncr
QC-F-B,QC,Print Ncr,,,Print Ncr
QC-F-C,QC,Disposition Ncr,,,Disposition Ncr
QC-F-D,QC,Close Ncr,,,Close Ncr
QC-F-E,QC,View Ncr,,,View Ncr
QC-G-A,QC,Enter Car,,,Enter Car
QU-A,QU,Master Inquiry,,,Master Inquiry
QU-B,QU,Calendar Drill Down,,,Calendar Drill Down
QU-C,QU,Calendar Summary Report,,,Calendar Summary Report
QU-D,QU,Business Status,,,Business Status
QU-E,QU,Quick Grid Lookup,,,Quick Grid Lookup
QU-F,QU,Query Executor,,,Query Executor
RM-A,RM,Enter RMA Orders,ISSRA;ISSRA2;j6btsra,T7RMAWHY.DFM,Enter Rma
RM-B,RM,Print Rma,,,Print Rma
RM-C,RM,Receive RMA,ISRMD,,Receive Rma
RM-D,RM,Process RMA,ISRMD,T7RMD.DFM;T7RMDASK.DFM,Disposition Rma
RM-E,RM,RMA Reason For Return Maintenance,ISRME,T7RME.DFM,Enter Rma Return Codes
RO-A,RO,View Routings,BKROA,T7ROA.DFM;T7ROAOpts.DFM;T7ROASpecs.DFM;t7roacpy.DFM,Enter Routings
RO-B,RO,Print Costed Routing,BKROB,T7ROB.DFM,Print Rollup Routing Costs
RO-C,RO,Work Centers,BKROC,T7ROC.DFM,Enter Work Centers
RO-D,RO,Enter Machines,BKROD,T7ROD.DFM,Enter Machines
RO-E,RO,Enter Tools,BKROE,T7ROE.DFM,Enter Tools
RO-F,RO,Enter QC Codes,BKROF,T7ROF.DFM,Enter Qc Codes
RO-G,RO,Enter Scrap Codes,BKROG,T7ROG.DFM,Enter Scrap Codes
RO-H,RO,Enter Departments,BKROH,T7ROH.DFM,Enter Departments
RO-I,RO,Enter Operation Templates,BKROI,T7ROI.DFM,Enter Operation Templates
RO-J-A,RO,Print Routings,BKROJA,T7ROJA.DFM,Print Routings
RO-J-B,RO,Print Work Centers,BKROJB,T7ROJB.DFM,Print Work Centers
RO-J-C,RO,Print Machines,BKROJC,T7ROJC.DFM,Print Machines
RO-J-D,RO,Print Tools,BKROJD,T7ROJD.DFM,Print Tools
RO-J-E,RO,Print QC Codes,BKROJE,T7ROJE.DFM,Print Qc Codes
RO-J-F,RO,Print Scrap Codes,BKROJF,T7ROJF.DFM,Print Scrap Codes
RO-J-G,RO,Print Departments,BKROJG,T7ROJG.DFM,Print Departments
RO-J-H,RO,Print Operation Templates,BKROJH,T7ROJH.DFM,Print Operation Templates
RO-K,RO,Enter Specs Templates,BKROK,T7ROK.DFM,Enter Specification Templates
RO-L,RO,Sequence Print Control,BKROL,T7ROL.DFM,Enter Sequence Print Control
RO-M,RO,Enter Testing Method,,,Enter Testing Method
RO-N,RO,Enter Test Requirements,,,Enter Test Requirements
RO-P,RO,Update Processing Cost St,,,Update Processing Cost St
SA-A,SA,Print Daily Sales/Bookings,BKSAA,T7SAA.DFM,Print Daily Sales Bookings
SA-B,SA,Print Profit By Invoice,BKSAB,,Print Profiy By Invoice
SA-C,SA,Print Customer Detail,BKSAC,,Print Customer Detail
SA-D,SA,Print Customer Summary,BKSAD,,Print Customer Summary
SA-E,SA,Print Customer Class Detail,BKSAE,,Print Customer Class Detail
SA-F-A,SA,Chart Export Profit By Invoice,,,Chart Export Profit By Invoice
SA-F-B,SA,Chart Export Customer Detail Summary,,,Chart Export Customer Detail Summary
SA-F-C,SA,Chart Export Salesperson Summary,,,Chart Export Salesperson Summary
SA-F-D,SA,Chart Export Item Sales Analysis,,,Chart Export Item Sales Analysis
SA-G,SA,Print Customer Class Summary,BKSAG,,Print Customer Class Summary
SA-H,SA,Print Salesperson Detail,BKSAH,,Print Salesperson Detail
SA-I,SA,Print Salesperson Summary,BKSAI,,Print Salesperson Summary
SA-J,SA,Print Inventory Detail,BKSAJ,,Print Inventory Detail
SA-L,SA,Print Item Class Detail,BKSAL,,Print Product Class
SA-M,SA,Print User-Defined Detail,BKSAM;T6SAM,T7SAM.DFM,Print User Defined Detail
SA-N,SA,Print User-Defined Summary,BKSAN;T6SAN;j6cfsan,T7SAN.DFM,Print User Defined Summary
SA-O,SA,Top N Customers,J6HVRSAO;J6PETOPN;JMCRTOPN,T7SAO.DFM,Top Customer Report
SA-P,SA,Print Sales Report,,,Print Sales Report
SC-A,SC,Edit Serial Numbers,BKSCA,T7SCA.DFM,Edit Serial File
SC-B,SC,Assign Serial Control,BKSCB,T7SCB.DFM,Assign Serial Control
SC-C,SC,Print Serial Availability,BKSCC,T7SCC.DFM;T7SCC2.DFM,Print Serial Availability
SC-D,SC,Serial Number History,BKINO;T6INO,,Print Serial History
SC-E,SC,Reconcile Inventory,BKSCE;ISSCE,T7SCE.DFM,Archive Serial History
SC-F,SC,Serial Control Exceptions,BKSCF;ISSCF,T7SCF.DFM,Serial Control Exception Report
SC-G,SC,Sales Order Serial Control,BKSCG;ISSCG,T7SCG.DFM,Enter Serial Generation Parameters
SC-H,SC,Serial Traceability Report,,,Serial Traceability Report
SD-A,SD,Company Name and Address,BKADA,,Company Defaults
SD-B,SD,Work Orders Defaults,BKMDF,,Work Order Defaults
SD-C,SD,Purchase Orders Defaults,BKMDG,,Purchase Order Defaults
SD-C-A,SD,PO Receiver Defaults,BKMDGA,,
SD-D,SD,Material Requirements Defaults,,,Material Requirements Defaults
SD-E,SD,Scheduling Defaults,BKMDI,T7SDET.DFM,Scheduling Defaults
SD-F,SD,Data Collection Defaults,BKMDJ;ISSDF,,Data Collection Defaults
SD-G,SD,Estimating Defaults,BKMDK,,Estimating Defaults
SD-H,SD,Inventory Defaults,,,Inventory Defaults
SD-I,SD,Routings Defaults,BKMDB,,Routings Defaults
SD-J,SD,Bill Of Material Defaults,,,Bill Of Material Defaults
SD-K,SD,Lot And Serial Control Defaults,,,Lot And Serial Control Defaults
SD-L,SD,Features And Options Defaults,,,Features And Options Defaults
SD-M,SD,Sales Orders Defaults,BKADF;JKSDM,,Sales Order Defaults
SD-N,SD,Sales Commissions Defaults,BKADG,,Sales Commission Defaults
SD-O,SD,Contact Manager Defaults,BKADH,,Contact Manager Defaults
SD-P,SD,Customer Defaults,BKSDP,,Customer Ar Defaults
SD-Q,SD,Master Defaults,,,Master Defaults
SD-R,SD,Assign Next Numbers,,,Assign Next Numbers
SD-S,SD,Warehouse Control Defaults,,,Warehouse Control Defaults
SD-T,SD,Service Repair And Rma Defaults,,,Service Repair And Rma Defaults
SD-U,SD,Hand Held Defaults,,,Hand Held Defaults
SD-V,SD,International Defaults,,,International Defaults
SH-A,SH,Edit WO Start/Finish/Due Dates,BKSHA,T7SHA.DFM,Edit Wo Start Finish Dates
SH-B,SH,Manually Schedule Work Orders,BKSHB,T7SHB.DFM,Manually Schedule Work Orders
SH-C,SH,Manually Schedule Work Centers,BKSHC,T7SHC.DFM,Manually Schedile Work Centers
SH-D,SH,Manually Schedule Machines,BKSHD,,Manually Schedule Machines
SH-E,SH,Finite Scheduling,BKSHE,T7SHE.DFM,Finite Scheduling
SH-F,SH,Infinite Scheduling,BKSHF,T7SHF.DFM,Infinte Scheduling
SH-G,SH,Print Work Order Schedule,BKSHG,T7SHG.DFM,Print Work Order Schedule
SH-H,SH,Print Work Order Status,BKSHH,T7SHH.DFM,Print Work Order Status
SH-I,SH,Print Work Center Schedule,BKSHI;CBKSHI;CBKSHI2;CBKSHI3;J5MISHI,T7SHI.DFM;T7SHIPRTM.DFM,Prnt Work Center Schedule
SH-J,SH,Print Machine Schedule,BKSHJ,T7SHJ.DFM,Print Machine Schedule
SH-K,SH,View Work Center Load,BKSHK,,View Work Center Load
SH-L,SH,Print Work Center Load,BKSHL,,View Or Calculate Work Ce
SH-M,SH,Lead Time Estimator,BKSHM,T7SHM.DFM,Lead Time Estimator
SH-N,SH,Generate Lead Times,BKSHN,T7SHN.DFM,Generate Lead Times
SH-O,SH,Finite Schedule Bucket Report,BKSHO,T7SHO.DFM;T7SHOWLINEHIST.DFM,Finite Schedule Bucket Report
SH-P,SH,Lead Time Scheduling,BKSHP,T7SHP.DFM,Lead Time Scheduling
SH-R,SH,Work Center Scheduler,,,Work Center Scheduler
SM-A,SM,Enter Customers,,,Enter Customers
SM-B,SM,Enter Vendors,,,Enter Vendors
SM-C,SM,Enter Item Classes,,,Enter Item Classes
SM-D,SM,Enter Terms Table,BKAME,T7SMD.DFM,Enter Terms Table
SM-E,SM,Enter Tax Codes,BKAMF,T7SME.DFM,Enter Tax Codes
SM-F,SM,Enter Tax Groups,BKAMG,T7SMF.DFM,Enter Tax Groups
SM-G,SM,Enter Employees,BKMMB,T7SMG.DFM;T7SMGA.DFM,Enter Employees
SM-H,SM,Enter Shop Calendar,BKMMC,T7SMH.DFM;T7SMHMRK.DFM,Enter Shop Calendar
SM-I-A,SM,Enter Lead Source Codes,BKAMLA,T7SMIA.DFM,Enter Lead Source Codes
SM-I-B,SM,Enter Territory Codes,BKAMLB,T7SMIB.DFM,Enter Territory Codes
SM-I-C,SM,Enter History Codes,BKAMLC,T7SMIC.DFM,
SM-I-D,SM,Enter Account Follow-up Codes,BKAMLD,T7SMID.DFM,Enter Reminder Types
SM-I-E,SM,Enter Vendor Follow-up Codes,BKAMLE,T7SMIE.DFM,
SM-I-F,SM,Enter Personal Contact Follow-up Codes,BKAMLF,T7SMIF.DFM,Enter Reasons For Loss
SM-I-G,SM,Enter Class Codes,BKAMLG,,Enter Class Codes
SM-I-H,SM,Enter Key Date Codes,BKAMLH,,Enter Key Date Codes
SM-I-I,SM,Enter Reps and Passwords,BKAMLI,,
SM-I-J,SM,Purge Account History,BKAMLJ,,
SM-I-K,SM,Purge Account Follow-ups,BKAMLK,,
SM-I-L,SM,Purge Vendor Contact History,BKAMLL,,
SM-I-M,SM,Purge Vendor Follow-ups,BKAMLM,,
SM-I-N,SM,Purge Personal Contact History,BKAMLN,,
SM-I-O,SM,Purge Personal Contact Follow-ups,BKAMLO,,
SM-J-A,SM,Work Order File Maintenance,BKMMF,T7SMJA.DFM,Work Order File Maintenance
SM-J-B,SM,Archive Work Orders,,,Archive Work Orders
SM-J-C,SM,Reconcile Inventory On Hand,,,Reconcile Inventory On Hand
SM-J-D,SM,Consolicate Invventory Transactions,,,Consolicate Invventory Transactions
SM-J-E,SM,Purge Work Orders,,,Purge Work Orders
SM-J-F,SM,Purge Qc Receipts,,,Purge Qc Receipts
SM-J-H,SM,Purge Data Collection File,BKMML,T7SMJH.DFM,Purge Data Collection File
SM-J-I,SM,Purge Estimates,BKMMM,T7SMJI.DFM,Purge Estimates
SM-J-J,SM,Purge Closed Sales Orders,BKAMPD;ISSMJJ,T7SMJJ.DFM,Purge Or Archive Invoice History
SM-J-K,SM,Purge Invoice History,BKAMPE;ISSMJJ,,
SM-J-L,SM,Change Part Numbers,,,Change Part Numbers
SM-J-M,SM,Change Customer Codes,BKAMM,T7SMJM.DFM,Change Customer Codes
SM-J-N,SM,Change Vendor Codes,BKAMN,T7SMJN.DFM,Change Vendor Code
SM-J-O,SM,Rebuild Customer/Vendor Totals,BKAMK,T7SMJO.DFM,Rebuild Customer Vendor Credit Info
SM-J-P,SM,Purge AR Vouchers,BKAMPC;ISSMJJ,,Purge Archive Service Rma Orders
SM-J-Q,SM,Bill of Material Recursion Utility,BKBMM,T7SMJQ.DFM,Bom Recursion Utility
SM-J-R,SM,Archive Purchase Order History,ISSMJR,T7SMJR.DFM,
SM-J-S,SM,Purge Inventory Audit Info.,ISSMJS,T7SMJS.DFM,Purge Inventory Audit I
SM-J-T,SM,Archive/Restore Quotes,ISSMJJ,,Purge Or Archive Sales 
SM-J-U,SM,Configure Vendor Miscel,,,Configure Vendor Miscel
SM-J-V,SM,Archive Inventory Trans,,,Archive Inventory Trans
SM-N-A,SM,Enter Note Types,,,Enter Note Types
SM-N-B,SM,Enter System Notes,,,Enter System Notes
SM-N-C,SM,Synchronize Classic Notes To Evo,,,Synchronize Classic Notes To Evo
SM-N-D,SM,Synchronize Evo Notes To Classic,,,Synchronize Evo Notes To Classic
SM-P-A,SM,Enter Categories,,,Enter Categories
SM-P-B,SM,Enter User Defined,,,Enter User Defined
SM-P-C,SM,Enter Scrap Codes,,,Enter Scrap Codes
SM-P-D,SM,Enter Qc Codes,,,Enter Qc Codes
SM-P-E,SM,Define Inventory User Define Fields,,,Define Inventory User Define Fields
SM-P-F,SM,Description Entry,ISJOBS,T7SMPF.DFM,Enter Jobs
SM-P-G,SM,Enter Wo Priority Codes,,,Enter Wo Priority Codes
SM-P-H,SM,Enter Cycle Codes,,,Enter Cycle Codes
SM-S,SM,Enter Evo Links,,,Enter Evo Links
SM-T,SM,Enter Java Settings,,,Enter Java Settings
SM-U,SM,Enter Customer Ship Via,,,Enter Customer Ship Via
SM-V,SM,Check For Updates,,,Check For Updates
SO-A,SO,View,BKSOA;BKSOA2;ISSRA;ISTECH;JKSOS1S,T7SOABKD.DFM;T7SOAC.DFM;T7SOACITEM.DFM;T7SOACPY.DFM;T7SOAE.DFM;T7SOAFRT.DFM;T7SOAIMPLINES.DFM;T7SOAPRC.DFM;T7SOAXCOM.DFM;t7SOA.DFM;t7Soa2.DFM,Enter Sales Orders
SO-B,SO,Print Acknowledgements,BKSOB;BKSOBB;ISTECH;T6ALSOB;t6sob,T7SOB.DFM;T7SOBIN.DFM,Print Acknowledgments
SO-C,SO,Print Pick Ticket,BKSOC;ISTECH;T6ALSOC;t6soc,T7SOC.DFM,Print Packing Slips
SO-D,SO,Print Shipping Labels,BKSOD;T6SOD;t6sodmsg,T7SOD.DFM;T7SODDesc.DFM;T7SODPallet.DFM,Print Shipping Labels
SO-E,SO,Release Sales Orders,BKSOE;T6SOE,T7SOE.DFM,Release Sales Orders
SO-F,SO,Print/Reprint Invoices,BKSOF;ISTECH;T6ALSOF;T6SOF,T7SOF.DFM;T7SOFDEP.DFM,Print Invoices
SO-G,SO,Post Invoices,BKSOG;BKSOGA;BKSOGSAV;ISSRGA,T7SOG.DFM;T7SOGA.DFM;T7SOGACHK.DFM;T7SOGCogs.DFM;T7SOGComm.DFM,Post Invoices
SO-H,SO,Display Invoice History,BKSOH,T7SOHINFO.DFM,Display Invoice History
SO-I,SO,Customer Service Inquiry,BKSOI,T7SOINFO.DFM,Customer Service Inquiry
SO-J,SO,View Recurring Sales Orders,BKSOJ;BKSOJ2;t6SOJ;t6soj2,T7SOJINFO.DFM,Enter Recurring Sales Orders
SO-K,SO,Generate Sales Orders from Recurring SO Templates,BKSOK,T7SOK.DFM,Generate Recurring Sales Order
SO-L,SO,Enter/Print Note Templates,BKSOL,T7SOLINEHIST.DFM;T7SOLINFO.DFM;T7SOLOT.DFM,
SO-M,SO,Print Template Forms,BKSOM;t6som,,
SO-N,SO,Manual Mat Cost/Lab Hours,AUTOSON;BKSON;ISSON,T7SON.DFM;T7SONQTY.DFM;t7sondte.DFM,Convers Sales Orders To Work Orders
SO-O-A,SO,Print Open Sales Order Listing,BKSOOA,T7SOOA.DFM,Print Open Sales Order Listing
SO-O-B,SO,Print Backorder Listing,BKSOOB,T7SOOB.DFM,Print Backorder Listing
SO-O-C,SO,Reprint Invoice,,,Reprint Invoice
SO-O-D,SO,Print Commissions by Sales Order,BKSOOD,T7SOOD.DFM,Print Commissions By Sales Order
SO-O-E,SO,Print Shipping Schedule,BKSOOE,T7SOOE.DFM,Print Shipping Schedule
SO-O-F,SO,Print Available to Ship,BKSOOF;t6soof,T7SOOF.DFM,Print Available To Ship
SO-O-G,SO,Print Sales Order/Work Order Schedule,BKSOOG,T7SOOG.DFM,Print Sales Order Work Order Schedule
SO-O-H,SO,Print Invoice Listing,BKSOOH,T7SOOH.DFM,Print Invoice Listing
SO-O-I,SO,Print Released Sales Orders,BKSOOI,T7SOOI.DFM,Print Released Sales Orders
SO-O-J,SO,Print User-Defined Detail,BKSAM;T6SAM,,Print User Defined Detail
SO-O-K,SO,Print User-Defined Summary,BKSAN;T6SAN;j6cfsan,,Print User Defined Summary
SO-O-M,SO,Print Sales Order Changes,ISSOOM,T7SOOM.DFM,Print Changes To Sales Orders
SO-O-N,SO,Print OnTime Shipping Report,ISSOON,T7SOON.DFM,Print Ontime Shipping Report
SO-O-O,SO,Sales Order/Work Order Exception Report,ISSOOO;ISSROO,,
SO-P-A,SO,Enter Sales Quotations,BKSOA;BKSOA2;BKSOJ;BKSOJ2;ISTECH,,Enter Sales Quotations
SO-P-B,SO,Print Sales Quotations,BKSOPB;T6ALSOPB;T6SOPB,T7SOPB.DFM,Print Sales Quotations
SO-P-C,SO,Convert Sales Quotation,BKSOPC,T7SOPC.DFM,Convert Sales Quotations
SO-P-D,SO,Print User-Defined Detail,BKSAM;T6SAM,,Sales Quotation Detail Report
SO-P-E,SO,Print User-Defined Summary,BKSAN;T6SAN;j6cfsan,,Sales Quotation Summary Report
SO-P-F,SO,Enter Return Authorization,BKSOA;BKSOA2;BKSOJ;BKSOJ2;t6SOJ,T7SOPF.DFM,Release Blanket Order
SO-P-H,SO,Enter RMA- Edit Existing RMA,JKSOS1S;JKSOS2S;jksos1.run;jksos2.run,,
SO-P-I,SO,Enter Freight & Tracking #,BKSOPI,T7SOPI.DFM,Enter Freight Tracking Number
SO-P-J,SO,Post Shipped Items,ISSOPJ,T7SOPJ.DFM,Post Shipped Items
SO-P-K,SO,Close Sales Quotation,ISSOPK,T7SOPK.DFM,Edit Posted Invoice
SO-P-L,SO,Enter Tracking #,BKSOPI,,Print Changes To Quotes
SO-P-M,SO,Converted Quote Report,,,Converted Quote Report
SO-P-N,SO,Convert So To Po,,,Convert So To Po
SO-P-P,SO,Edit Estimated Ship Dat,,,Edit Estimated Ship Dat
SO-Q,SO,Customer Service Inquiry,BKSOQ,T7SOQA.DFM;T7SOQB.DFM;T7SOQC.DFM;T7SOQH.DFM;T7SOQI.DFM;T7SOQJ.DFM;T7SOQK.DFM;T7SOQL.DFM,
SO-Q-A,SO,Enter Base Prices,BKSOQA,T7SOQA.DFM,Enter Base Prices
SO-Q-B,SO,Print Base Prices,BKSOQB,T7SOQB.DFM,Print Base Price
SO-Q-C,SO,Global Price Change,BKSOQC,T7SOQC.DFM,Global Price Change
SO-Q-D,SO,Enter Price Codes,,,Enter Price Codes
SO-Q-E,SO,Print Price Codes,,,Print Price Codes
SO-Q-F,SO,Enter Discount Codes,,,Enter Discount Codes
SO-Q-G,SO,Print Discount Codes,,,Print Discount Codes
SO-Q-H,SO,Enter Contract Prices,,,Enter Contract Prices
SO-Q-I,SO,Print Contract Prices,,,Print Contract Prices
SO-Q-J,SO,Generate Base Prices,BKSOQJ,T7SOQJ.DFM,Generate Base Prices
