table,field_path,offset
BKCPMSTR,BKCP.MST.IMPATHB,0x16e5dc
BKCPMSTR,BKCP.MST.LABEX,0x16f274
BKDCCFG,BKDC.CFG.BANKP,0x16f5dc
BKDCCFG,BKDC.CFG.BANKS,0x16f674
BKDCCFG,BKDC.CFG.EXPPTHP,0x16f014
BKDCCFG,BKDC.CFG.IDLEP,0x16f4ac
BKDCCFG,BKDC.CFG.IDLES,0x16f544
BKDCCFG,BKDC.CFG.IMPPTH,0x16f70c
BKDCLAB,LAB.ADT.SUPER  s,0x1700ac
BKDCLAB,LAB.APPROVAL   r,0x170014
BKDCLAB,LAB.DATE,0x1718ac
BKDCLAB,LAB.EMP,0x171944
BKDCLAB,LAB.FINISH,0x170e74
BKDCLAB,LAB.GEN.FLAG   J,0x16f414
BKDCLAB,LAB.NOJOBS     -,0x1708ac
BKDCLAB,LAB.OPER,0x170c14
BKDCLAB,LAB.PARTS,0x170f0c
BKDCLAB,LAB.POSTED,0x170cac
BKDCLAB,LAB.SETUPHRS   7,0x1709dc
BKDCLAB,LAB.SHIFT,0x170d44
BKDCLAB,LAB.START,0x170ddc
BKDCLAB,LAB.WOKEY,0x171a74
BKDCLAB,LAB.WOPRE,0x1719dc
BKDCLAB,LAB.WOSUF,0x171b0c
BKDCSHFT,BKDC.SH.BRK1IN c,0x171cac
BKDCSHFT,BKDC.SH.BRK1OUTo,0x171c14
BKDCSHFT,BKDC.SH.BUFFER K,0x171e74
BKDCSHFT,BKDC.SH.NAME1,0x171d44
BKDCSHFT,BKDC.SH.NAME2,0x171ddc
BKDCSHFT,BKDC.SH.NAME3  2,0x171f0c
BKDCSHFT,BKDC.SH.START  W,0x171814
BKEDIDUN,BKEDI.DUN.ADVS,0x1728ac
BKEDIDUN,BKEDI.DUN.CUST,0x17370c
BKEDIDUN,BKEDI.DUN.DUNS,0x172814
BKEDIDUN,BKEDI.DUN.EDI,0x1729dc
BKEDIDUN,BKEDI.DUN.EFFDT,0x172a74
BKEDIDUN,BKEDI.DUN.PRODS,0x172944
BKEDIDUN,BKEDI.DUN.SHPCD,0x173674
BKEDMSTR,BKEDI.MST.DUNS,0x173544
BKEDMSTR,BKEDI.MST.NEXTN,0x1735dc
BKEDMSTR,BKEDI.MST.PATH,0x1734ac
BKEDNOTE,BKEDI.NOTE.EDI,0x173414
BKEDNOTE,BKEDI.NOTE.NOTE,0x173a74
BKEDNOTE,BKEDI.NOTE.SO,0x173b0c
BKEDPOST,BKEDI.POST.CUST,0x173944
BKEDPOST,BKEDI.POST.INVN,0x1739dc
BKESTCFG,BKEST.CFG.CLASS,0x17470c
BKESTCFG,BKEST.CFG.DAYS 7,0x173814
BKESTCFG,BKEST.CFG.ENDLN9,0x1744ac
BKESTCFG,BKEST.CFG.FORM,0x173c14
BKESTCFG,BKEST.CFG.NUM,0x1745dc
BKESTCFG,BKEST.CFG.STAT,0x174674
BKESTCFG,BKEST.CMPY.INFO6,0x173ddc
BKFLDHLP,HLP.CODE,0x174ddc
BKFLDHLP,HLP.INDEX,0x174e74
BKFLDHLP,HLP.LINE,0x174f0c
BKFOCFG,BKFO.CFG.EXTRA,0x17570c
BKFOCFG,BKFO.CFG.MANFET,0x174c14
BKFOCFG,BKFO.CFG.OPCODE,0x174d44
BKFOCFG,BKFO.CFG.YN,0x174cac
BKGLCCOA,BKGLC.1YPAST,0x1755dc
BKGLCCOA,BKGLC.2YPAST   z,0x175674
BKGLCCOA,BKGLC.ACCT,0x175814
BKGLCCOA,BKGLC.ACCTD,0x1759dc
BKGLCCOA,BKGLC.GLDPT,0x175944
BKGLCCOA,BKGLC.KEY,0x1758ac
BKGLCHK,BKGL.CHK.CHKACT,0x1764ac
BKGLCHK,BKGL.CHK.DATE,0x1765dc
BKGLCHK,BKGL.CHK.EXTRA 1,0x176144
BKGLCHK,BKGL.CHK.FLAG  0,0x1760ac
BKGLCHK,BKGL.CHK.KEY,0x176414
BKGLCHK,BKGL.CHK.NAME,0x17670c
BKGLCHK,BKGL.CHK.NUM,0x176544
BKGLCHK,BKGL.CHK.TYPE,0x176674
BKGLCOA,BKGL.1YPAST,0x1769dc
BKGLCOA,BKGL.1YPAST.YE,0x176c14
BKGLCOA,BKGL.2YPAST    z,0x176a74
BKGLCOA,BKGL.ACCT,0x176cac
BKGLCOA,BKGL.ACCTD,0x176ddc
BKGLCOA,BKGL.GLDPT,0x176d44
BKGLCOA,BKGL.KEY,0x177e74
BKGLFSTL,BKFS.CALC.BASE A,0x177d44
BKGLFSTL,BKFS.EGL.ACCT,0x1780ac
BKGLFSTL,BKFS.LINE.NUM,0x178b0c
BKGLFSTL,BKFS.LNE.KEY,0x178a74
BKGLFSTL,BKFS.NAME,0x1789dc
BKGLFSTL,BKFS.NDC       C,0x177ddc
BKGLFSTL,BKFS.SGL.ACCT,0x178014
BKGLFSTL,BKFS.TOTAL.FLD,0x178144
BKGLGJLN,BKGL.GJL.ACCTNM,0x178cac
BKGLGJLN,BKGL.GJL.AMOUNT0,0x178f0c
BKGLGJLN,BKGL.GJL.DESC,0x178ddc
BKGLGJLN,BKGL.GJL.EXTRA I,0x178944
BKGLGJLN,BKGL.GJL.GLDPT,0x178d44
BKGLGJLN,BKGL.GJL.JOB   8,0x178814
BKGLGJLN,BKGL.GJL.LINE  G,0x1788ac
BKGLGJLN,BKGL.GJL.TRANSN,0x178c14
BKGLGJRN,BKGL.GJ.CVCODE,0x179014
BKGLGJRN,BKGL.GJ.EXTRA  6,0x17930c
BKGLGJRN,BKGL.GJ.INVCHKN,0x1790ac
BKGLGJRN,BKGL.GJ.POSTED,0x179f0c
BKGLGJRN,BKGL.GJ.TRANSDT,0x179cac
BKGLGJRN,BKGL.GJ.TRANSNM,0x179d44
BKGLGJRN,BKGL.GJ.TYPE,0x179ddc
BKGLGJRN,BKGL.GJ.TYPEN,0x179e74
BKGLSTMT,BKGL.STB.GLA.F 2,0x17a674
BKGLSTMT,BKGL.STB.GLA.MT,0x17a70c
BKGLSTMT,BKGL.STB.GLA.T Z,0x17a5dc
BKGLSTMT,BKGL.STB.GLLTTLO,0x17aa74
BKGLSTMT,BKGL.STB.MN.TTL,0x179c14
BKGLSTMT,BKGL.STC.GLA.F,0x17d30c
BKGLSTMT,BKGL.STC.GLA.T -,0x17d274
BKGLSTMT,BKGL.STC.GLATTLU,0x17d1dc
BKGLSTMT,BKGL.STC.MN.TTLy,0x17c0ac
BKGLSTMT,BKGL.STI.GLE.T f,0x17b414
BKGLSTMT,BKGL.STI.GLI.F X,0x17addc
BKGLSTMT,BKGL.STI.GLI.T l,0x17ad44
BKGLSTMT,BKGL.STI.GLOE.F,0x17b8ac
BKGLSTMT,BKGL.STI.GLOETT3,0x17c30c
BKGLSTMT,BKGL.STI.GLOITT,0x17b944
BKGLSTMT,BKGL.STI.GLT.F L,0x17c274
BKGLSTMT,BKGL.STI.GLT.T V,0x17c1dc
BKGLTRAN,BKGL.TRN.BATCH r,0x17d9dc
BKGLTRAN,BKGL.TRN.CODE,0x17ea74
BKGLTRAN,BKGL.TRN.DATE,0x17e9dc
BKGLTRAN,BKGL.TRN.ENTDTEJ,0x17de74
BKGLTRAN,BKGL.TRN.EXTRA N,0x17df0c
BKGLTRAN,BKGL.TRN.GLACCT,0x17e814
BKGLTRAN,BKGL.TRN.GLDPT,0x17e944
BKGLTRAN,BKGL.TRN.INVC,0x17eb0c
BKGLTRAN,BKGL.TRN.KEY,0x17e8ac
BKGLTRAN,BKGL.TRN.PART  z,0x17da74
BKGLTRAN,BKGL.TRN.PERIODp,0x17d944
BKGLTRAN,BKGL.TRN.POST  o,0x17d8ac
BKGLTRAN,BKGL.TRN.TRXN  g,0x17d814
BKGLTRAN,BKGL.TRN.TYPE  H,0x17dddc
BKGLX,BKGLX.ARCHDATE,0x17f274
BKGLX,BKGLX.BATCH    x,0x17f944
BKGLX,BKGLX.DESC     R,0x17fa74
BKGLX,BKGLX.ENTDATE,0x17f1dc
BKGLX,BKGLX.PART,0x17f144
BKGLX,BKGLX.POINVC   H,0x17fb0c
BKGLX,BKGLX.PONUM    8,0x17f4ac
BKGLX,BKGLX.POSTDATE,0x17f30c
BKGLX,BKGLX.QUANTITY,0x17f0ac
BKGLX,BKGLX.TRXN     p,0x17f9dc
BKGLX,BKGLX.WOPRE    .,0x17f5dc
BKGLX,BKGLX.WOSUF    6,0x17f544
BKICALTD,BKIC.ALTD.DESC,0x1800ac
BKICALTD,BKIC.ALTD.NOTE .,0x180144
BKICALTD,BKIC.ALTD.PCODE,0x180a74
BKICALTD,BKIC.ALTD.SPECSL,0x1801dc
BKICALTD,BKIC.ALTD.TKEY,0x180014
BKICALTD,BKIC.ALTD.TYPE,0x180b0c
BKICALTP,BKIC.ALTP.ACODE,0x180944
BKICALTP,BKIC.ALTP.PCODE,0x180814
BKICALTP,BKIC.ALTP.PKEY,0x1808ac
BKICALTP,BKIC.ALTP.TKEY,0x18130c
BKICALTP,BKIC.ALTP.TYPE,0x181274
BKICDIM,BKICDIM.ALLOY  c,0x1825dc
BKICDIM,BKICDIM.ALTDESCE,0x182544
BKICDIM,BKICDIM.APPR.BYK,0x181c14
BKICDIM,BKICDIM.APPR.DT_,0x181cac
BKICDIM,BKICDIM.EDGE   f,0x181144
BKICDIM,BKICDIM.ELONGAT,0x18170c
BKICDIM,BKICDIM.FIRST,0x181f0c
BKICDIM,BKICDIM.GENERIC.,0x182414
BKICDIM,BKICDIM.KEY,0x181ddc
BKICDIM,BKICDIM.PARENT,0x181e74
BKICDIM,BKICDIM.PARTNO,0x181d44
BKICDIM,BKICDIM.TEMPER w,0x182674
BKICDIM,BKICDIM.TENSIL,0x181674
BKICLOC,BKIC.LOC.CODE,0x184b0c
BKICLOC,BKIC.LOC.DATE1,0x1830ac
BKICLOC,BKIC.LOC.DPTA  C,0x18430c
BKICLOC,BKIC.LOC.DPTC  Q,0x183cac
BKICLOC,BKIC.LOC.DPTS  _,0x183ddc
BKICLOC,BKIC.LOC.DPTSNTm,0x183f0c
BKICLOC,BKIC.LOC.GLA   9,0x184274
BKICLOC,BKIC.LOC.GLC   G,0x183c14
BKICLOC,BKIC.LOC.GLS   U,0x183d44
BKICLOC,BKIC.LOC.GLSNT c,0x183e74
BKICLOC,BKIC.LOC.GLWIP q,0x183814
BKICLOC,BKIC.LOC.KEY,0x1849dc
BKICLOC,BKIC.LOC.NUM1,0x18370c
BKICLOC,BKIC.LOC.NUM2,0x183014
BKICLOC,BKIC.LOC.PROD,0x184a74
BKICLOC,BKIC.LOC.UOH,0x184014
BKICLOC,BKIC.LOC.UOO   1,0x1841dc
BKICLOC,BKIC.LOC.UOWO,0x183944
BKICLOC,BKIC.LOC.WHCTRL,0x183144
BKICLOCM,BKIC.LOCM.ADDR2F,0x18530c
BKICLOCM,BKIC.LOCM.ADDR3d,0x185274
BKICLOCM,BKIC.LOCM.CITY2,0x1854ac
BKICLOCM,BKIC.LOCM.CODE,0x184944
BKICLOCM,BKIC.LOCM.NAME,0x1848ac
BKICLOCM,BKIC.LOCM.TAXGR,0x185544
BKICMFG,BKIC.MFG.MANUF,0x185ddc
BKICMFG,BKIC.MFG.MKEY,0x185e74
BKICMFG,BKIC.MFG.PCODE,0x185cac
BKICMFG,BKIC.MFG.PKEY,0x185d44
BKICMFG,BKIC.MFG.REMARKA,0x185414
BKICMSTR,BKIC.IS.DCODE  M,0x18670c
BKICMSTR,BKIC.PROD.ADTR V,0x1899dc
BKICMSTR,BKIC.PROD.AVGC h,0x188814
BKICMSTR,BKIC.PROD.CAT  1,0x189cac
BKICMSTR,BKIC.PROD.CLASS6,0x189ddc
BKICMSTR,BKIC.PROD.CODE,0x18a5dc
BKICMSTR,BKIC.PROD.CVAR,0x187e74
BKICMSTR,BKIC.PROD.DESC,0x18a674
BKICMSTR,BKIC.PROD.DPTC H,0x187674
BKICMSTR,BKIC.PROD.DPTNTl,0x1871dc
BKICMSTR,BKIC.PROD.DPTS V,0x187014
BKICMSTR,BKIC.PROD.GLA  0,0x1874ac
BKICMSTR,BKIC.PROD.GLS  L,0x18770c
BKICMSTR,BKIC.PROD.GLSNTb,0x187144
BKICMSTR,BKIC.PROD.GSVAR,0x187ddc
BKICMSTR,BKIC.PROD.ISUPCA,0x186674
BKICMSTR,BKIC.PROD.LONGPP,0x185c14
BKICMSTR,BKIC.PROD.LORD N,0x1898ac
BKICMSTR,BKIC.PROD.LRCPTR,0x189944
BKICMSTR,BKIC.PROD.LSALEJ,0x189814
BKICMSTR,BKIC.PROD.MANUFz,0x186814
BKICMSTR,BKIC.PROD.NGLYR,0x187cac
BKICMSTR,BKIC.PROD.NSVAR,0x187f0c
BKICMSTR,BKIC.PROD.PMAT x,0x18730c
BKICMSTR,BKIC.PROD.PRICEZ,0x1870ac
BKICMSTR,BKIC.PROD.RAMT B,0x189f0c
BKICMSTR,BKIC.PROD.TO   X,0x189a74
BKICMSTR,BKIC.PROD.TXBLE5,0x189d44
BKICMSTR,BKIC.PROD.TYPE -,0x18a70c
BKICMSTR,BKIC.PROD.UBO  p,0x187274
BKICMSTR,BKIC.PROD.UM   .,0x189c14
BKICMSTR,BKIC.PROD.UOH  p,0x1888ac
BKICMSTR,BKIC.PROD.UOSO x,0x188944
BKICMSTR,BKIC.PROD.USVAR,0x187d44
BKICPMAT,BKIC.PMAT.ADATEp,0x18c5dc
BKICPMAT,BKIC.PMAT.ALPHA,0x18d144
BKICPMAT,BKIC.PMAT.AWHO t,0x18c544
BKICPMAT,BKIC.PMAT.CLASS,0x18a814
BKICPMAT,BKIC.PMAT.COMM1,0x18af0c
BKICPMAT,BKIC.PMAT.COMM2m,0x18ae74
BKICPMAT,BKIC.PMAT.CUST,0x18a544
BKICPMAT,BKIC.PMAT.CWHO a,0x18c674
BKICPMAT,BKIC.PMAT.DCODE,0x18a8ac
BKICPMAT,BKIC.PMAT.EDATEq,0x18b5dc
BKICPMAT,BKIC.PMAT.EXP,0x18a944
BKICPMAT,BKIC.PMAT.FLAGS,0x18d1dc
BKICPMAT,BKIC.PMAT.GDATEI,0x18c014
BKICPMAT,BKIC.PMAT.LCOST,0x18d30c
BKICPMAT,BKIC.PMAT.PCODE,0x18a4ac
BKICPMAT,BKIC.PMAT.PDESCO,0x18b70c
BKICPMAT,BKIC.PMAT.PNUM,0x18a414
BKICPMAT,BKIC.PMAT.PRICE,0x18d274
BKICPMAT,BKIC.PMAT.QTY  k,0x18aa74
BKICPMAT,BKIC.PMAT.RATE,0x18ab0c
BKICPMAT,BKIC.PMAT.SDATEm,0x18b674
BKICPMAT,BKIC.PMAT.UID  u,0x18b544
BKICREF,BKIC.REF.CODE,0x18db0c
BKICREF,BKIC.REF.CUSCODU,0x18d944
BKICREF,BKIC.REF.CUSNME7,0x18d9dc
BKICREF,BKIC.REF.CUST,0x18d0ac
BKICREF,BKIC.REF.DESC  n,0x18d8ac
BKICREF,BKIC.REF.KEY,0x18d014
BKICREF,BKIC.REF.PDESC,0x18da74
BKICREQ,BKIC.REQ.BY,0x190414
BKICREQ,BKIC.REQ.DESC  -,0x18ff0c
BKICREQ,BKIC.REQ.IDATE,0x190544
BKICREQ,BKIC.REQ.IKEY,0x1904ac
BKICREQ,BKIC.REQ.LKEY,0x18fc14
BKICREQ,BKIC.REQ.MATDIM,0x18ef0c
BKICREQ,BKIC.REQ.MFG,0x18f5dc
BKICREQ,BKIC.REQ.MKEY,0x18f544
BKICREQ,BKIC.REQ.NOTES K,0x18f414
BKICREQ,BKIC.REQ.NUM,0x1905dc
BKICREQ,BKIC.REQ.OPER,0x18ee74
BKICREQ,BKIC.REQ.PARENT,0x18e814
BKICREQ,BKIC.REQ.PKEY,0x18fd44
BKICREQ,BKIC.REQ.RQTY  w,0x18f4ac
BKICREQ,BKIC.REQ.SKEY,0x190e74
BKICREQ,BKIC.REQ.STATUS,0x190f0c
BKICREQ,BKIC.REQ.TKEY,0x190674
BKICREQ,BKIC.REQ.TOADDR0,0x18e944
BKICREQ,BKIC.REQ.TOLOCN,0x18fcac
BKICREQ,BKIC.REQ.TONAME,0x18e8ac
BKICREQ,BKIC.REQ.TYPE,0x19070c
BKICTAX,BKIC.TAX.COLECT,0x190cac
BKICTAX,BKIC.TAX.FRGHT t,0x190ddc
BKICTAX,BKIC.TAX.GLACT 4,0x191144
BKICTAX,BKIC.TAX.KEY,0x1915dc
BKICTAX,BKIC.TAX.LOCAL,0x191674
BKICTAX,BKIC.TAX.NAME,0x19170c
BKICTAX,BKIC.TAX.NUMBER,0x191014
BKICTAX,BKIC.TAX.OUTSTDl,0x190d44
BKICTAX,BKIC.TAX.STATE,0x191544
BKICTAX,BKIC.TAX.TAXBLEL,0x19130c
BKICTAX,BKIC.TAX.VENDORB,0x191274
BKICVAL,BKIC.VAL.CODE,0x192674
BKICVAL,BKIC.VAL.DATE,0x19270c
BKICVAL,BKIC.VAL.TOTVL,0x191814
BKICVAL,BKIC.VAL.UOH,0x1918ac
BKISTAX,BKIS.TAX.APINV O,0x1935dc
BKISTAX,BKIS.TAX.CODE,0x1925dc
BKISTAX,BKIS.TAX.DATE,0x192544
BKISTAX,BKIS.TAX.ISCUR L,0x193674
BKISTAX,BKIS.TAX.NONTAX,0x19330c
BKISTAX,BKIS.TAX.PONO  C,0x193014
BKISTAX,BKIS.TAX.TAG   K,0x19370c
BKISTAX,BKIS.TAX.TAXABL,0x192414
BKISTAX,BKIS.TAX.TAXAMT,0x193274
BKISTAX,BKIS.TAX.TRFLAG,0x1924ac
BKISTAX,BKIS.TAX.VEND  1,0x193144
BKLOGON,BKLOGON.CMPY,0x193414
BKLOGON,BKLOGON.CODE,0x193544
BKLOGON,BKLOGON.PROG,0x193b0c
BKLOGON,BKLOGON.PSWD,0x1934ac
BKMATCST,BKMC.CODE,0x195014
BKMATCST,BKMC.COST      _,0x195144
BKMATCST,BKMC.QTY,0x1950ac
BKMATRIM,BKMA.TRIM.FIRST,0x1954ac
BKMATRIM,BKMA.TRIM.MACH,0x195544
BKMATRIM,BKMA.TRIM.SECND,0x195414
BKMRPFC,BKMRP.FC.DATE,0x1969dc
BKMRPFC,BKMRP.FC.DATE1 E,0x195ddc
BKMRPFC,BKMRP.FC.EXTRA,0x196b0c
BKMRPFC,BKMRP.FC.FLAG  D,0x195d44
BKMRPFC,BKMRP.FC.KEY,0x196944
BKMRPFC,BKMRP.FC.NUM   I,0x195e74
BKMRPFC,BKMRP.FC.OQTY  4,0x195c14
BKMRPFC,BKMRP.FC.PART,0x1968ac
BKMRPFC,BKMRP.FC.QTY,0x196a74
BKMRPPO,BKMRP.PO.CONF  S,0x196cac
BKMRPPO,BKMRP.PO.DATE,0x197b0c
BKMRPPO,BKMRP.PO.DONE  T,0x196d44
BKMRPPO,BKMRP.PO.EXTRA b,0x196e74
BKMRPPO,BKMRP.PO.KEY,0x1979dc
BKMRPPO,BKMRP.PO.PLANR O,0x196c14
BKMRPPO,BKMRP.PO.QTY   5,0x197544
BKMRPPO,BKMRP.PO.UID,0x197944
BKMRPPO,BKMRP.PO.VEND,0x197a74
BKMRPPO,BKMRP.PO.WOPRE E,0x197674
BKMRPPO,BKMRP.PO.WOSUF M,0x19770c
BKMRPSW,BKMRP.SW.PART,0x197814
BKMRPSW,BKMRP.SW.SW,0x1978ac
BKPCKIT,BKPC.KIT.COMP,0x198014
BKPCKIT,BKPC.KIT.DATELM6,0x198274
BKPCKIT,BKPC.KIT.KEY,0x198b0c
BKPCKIT,BKPC.KIT.QTY.R,0x1980ac
BKPCKIT,BKPC.KIT.QTY.S .,0x1981dc
BKPCPLOT,BKPC.PLOT.COMPDT,0x199b0c
BKPCPLOT,BKPC.PLOT.CUST .,0x198e74
BKPCPLOT,BKPC.PLOT.INKO G,0x198d44
BKPCPLOT,BKPC.PLOT.ISDTE,0x1988ac
BKPCPLOT,BKPC.PLOT.LOC  X,0x199a74
BKPCPLOT,BKPC.PLOT.PROD,0x198944
BKPCPLOT,BKPC.PLOT.STAT O,0x198cac
BKPCPLOT,BKPC.PLOT.STRTDP,0x198c14
BKPIFROZ,BKPH.INFO.ACCTAG,0x19a9dc
BKPIFROZ,BKPH.INFO.ACCTCU,0x199944
BKPIFROZ,BKPH.INFO.DEPTAQ,0x1999dc
BKPIFROZ,BKPH.INFO.DEPTC_,0x1998ac
BKPIFROZ,BKPH.INFO.FDATE1,0x19a144
BKPIFROZ,BKPH.INFO.INPST0,0x19a1dc
BKPIFROZ,BKPH.INFO.LOC,0x199cac
BKPIFROZ,BKPH.INFO.LOT  5,0x19a0ac
BKPIFROZ,BKPH.INFO.PCOST7,0x19ab0c
BKPIFROZ,BKPH.INFO.PROD,0x199c14
BKPIFROZ,BKPH.INFO.PUNITc,0x199814
BKPIFROZ,BKPH.INFO.QTR,0x199d44
BKPIFROZ,BKPH.INFO.SER  6,0x19a014
BKPIFROZ,BKPH.INFO.TAGS k,0x199f0c
BKPIFROZ,BKPH.INFO.UOH,0x199e74
BKPIFROZ,BKPH.INFO.YEAR,0x199ddc
BKPILOT,BKPI.LOT.BIN   G,0x19a944
BKPILOT,BKPI.LOT.CODE,0x19acac
BKPILOT,BKPI.LOT.LOC   4,0x19af0c
BKPILOT,BKPI.LOT.LOT,0x19ad44
BKPILOT,BKPI.LOT.PSTD  F,0x19a8ac
BKPILOT,BKPI.LOT.QTR,0x19ac14
BKPILOT,BKPI.LOT.YEAR,0x19b30c
BKPIMSTR,BKPI.MSTR.DESC,0x19b144
BKPIMSTR,BKPI.MSTR.QTR,0x19b1dc
BKPIMSTR,BKPI.MSTR.YEAR,0x19b274
BKPIPHYS,BKPH.ACTQTY,0x19b014
BKPIPHYS,BKPH.CODE      S,0x19c274
BKPIPHYS,BKPH.EMPNAME,0x19ba74
BKPIPHYS,BKPH.EMPNUM,0x19bb0c
BKPIPHYS,BKPH.FDATE     b,0x19c1dc
BKPIPHYS,BKPH.LOC       I,0x19c30c
BKPIPHYS,BKPH.LOT       f,0x19c144
BKPIPHYS,BKPH.QTR       G,0x19b814
BKPIPHYS,BKPH.SERIAL    u,0x19c0ac
BKPIPHYS,BKPH.TAGNUM,0x19b0ac
BKPIPHYS,BKPH.YEAR      C,0x19b8ac
BKPISER,BKPI.SER.BIN   X,0x19cf0c
BKPISER,BKPI.SER.CODE,0x19d674
BKPISER,BKPI.SER.LOTNO H,0x19cddc
BKPISER,BKPI.SER.PSTD  W,0x19ce74
BKPISER,BKPI.SER.QTR,0x19d5dc
BKPISER,BKPI.SER.QTY   .,0x19cc14
BKPISER,BKPI.SER.SERIAL,0x19d70c
BKPISER,BKPI.SER.TAG   6,0x19ccac
BKPISER,BKPI.SER.YEAR,0x19d544
BKPOX,BKPOX.COMPANY,0x19d4ac
BKPOX,BKPOX.FREIGHT  P,0x19e70c
BKPOX,BKPOX.INVCDATE,0x19db0c
BKPOX,BKPOX.INVCDESC y,0x19e414
BKPOX,BKPOX.INVCNUM,0x19d414
BKPOX,BKPOX.PONUM,0x19da74
BKPOX,BKPOX.TAXAMT   H,0x19d814
BKPOX,BKPOX.TERMSCODEw,0x19e4ac
BKPOX,BKPOX.TERMSDESCc,0x19e544
BKPOX,BKPOX.TOTAL    X,0x19e674
BKPOX,BKPOX.VENDCODE,0x19d9dc
BKPRAGNT,BKPR.AGNT.CODE,0x19f30c
BKPRAGNT,BKPR.AGNT.GLACT,0x19f274
BKPRAGNT,BKPR.AGNT.GLDPT,0x19f1dc
BKPRAGNT,BKPR.AGNT.NUM,0x19e814
BKPRCOMM,BKPR.COMM.AMTPD,0x10a144
BKPRCOMM,BKPR.COMM.CCODE,0x10aa74
BKPRCOMM,BKPR.COMM.EXTRA4,0x10a30c
BKPRCOMM,BKPR.COMM.INVDT,0x10a014
BKPRCOMM,BKPR.COMM.INVNM,0x10ab0c
BKPRCOMM,BKPR.COMM.PAYDT,0x10a0ac
BKPRCOMM,BKPR.COMM.PCODEY,0x19f144
BKPRCOMM,BKPR.COMM.SLSP,0x10a9dc
BKPRCOMM,BKPR.COMM.TDATEU,0x19f0ac
BKPRCOMM,BKPR.COMM.ULID M,0x19f014
BKPRCURP,BKPR.CURP.ACTNM,0x10de74
BKPRCURP,BKPR.CURP.CHKEY,0x10df0c
BKPRCURP,BKPR.CURP.CHKNM,0x10cc14
BKPRCURP,BKPR.CURP.EMPNM,0x10dd44
BKPRCURP,BKPR.CURP.FICEXV,0x10bddc
BKPRCURP,BKPR.CURP.FICWHF,0x10bd44
BKPRCURP,BKPR.CURP.FITWH6,0x10bc14
BKPRCURP,BKPR.CURP.FUTEXf,0x10be74
BKPRCURP,BKPR.CURP.OPACTh,0x10ac14
BKPRCURP,BKPR.CURP.OPHRS6,0x10c414
BKPRCURP,BKPR.CURP.OPNME6,0x10bb0c
BKPRCURP,BKPR.CURP.PRDTE,0x10dddc
BKPRCURP,BKPR.CURP.RPAMT.,0x10cf0c
BKPRCURP,BKPR.CURP.RPHRS,0x10cddc
BKPRCURP,BKPR.CURP.SPHRSn,0x10c014
BKPRCURP,BKPR.CURP.SPRTEv,0x10c0ac
BKPRCURP,BKPR.CURP.SUTEXn,0x10bf0c
BKPRCURP,BKPR.CURP.TOTHR,0x10ccac
BKPRCURP,BKPR.CURP.TOTPY,0x10cd44
BKPRCURP,BKPR.CURP.VPAMTf,0x10c70c
BKPRCURP,BKPR.CURP.VPHRSV,0x10c5dc
BKPRCURP,BKPR.CURP.WCWH v,0x10b814
BKPRFTAX,BKPR.TAX.ALLOW,0x10e1dc
BKPRFTAX,BKPR.TAX.AMT   _,0x10dc14
BKPRFTAX,BKPR.TAX.CODE,0x10e0ac
BKPRFTAX,BKPR.TAX.DESC,0x10e144
BKPRFTAX,BKPR.TAX.START,0x10e274
BKPRGLFL,BKPR.GL.DEPT,0x10e014
BKPRGLFL,BKPR.GL.FICACCT,0x10e5dc
BKPRGLFL,BKPR.GL.FICAEXD,0x10fc14
BKPRGLFL,BKPR.GL.FICAEXP,0x10fcac
BKPRGLFL,BKPR.GL.FICAMERF,0x112274
BKPRGLFL,BKPR.GL.FICAMLMN,0x1121dc
BKPRGLFL,BKPR.GL.FITACCT,0x10e70c
BKPRGLFL,BKPR.GL.FITDPT,0x10e674
BKPRGLFL,BKPR.GL.FUTACCT0,0x10e4ac
BKPRGLFL,BKPR.GL.MDACCT h,0x10ef0c
BKPRGLFL,BKPR.GL.MDDPT  r,0x10ee74
BKPRGLFL,BKPR.GL.ODACCT v,0x10eddc
BKPRGLFL,BKPR.GL.OPAYNME,0x111c14
BKPRGLFL,BKPR.GL.SITACCTL,0x10e9dc
BKPRGLFL,BKPR.GL.SITDPT V,0x10e944
BKPRGLFL,BKPR.GL.STCODE,0x1135dc
BKPRGLFL,BKPR.GL.SUTAEXP,0x11070c
BKPRGLFL,BKPR.GL.SUTDPT H,0x10ea74
BKPRGLFL,BKPR.GL.TAXOUT1r,0x110814
BKPRGLFL,BKPR.GL.TAXOUTS2,0x110ddc
BKPRGLFL,BKPR.GL.TAXVEND,0x110e74
BKPRGLFL,BKPR.GL.UODACT1j,0x110414
BKPRGLFL,BKPR.GL.UODEACTB,0x1114ac
BKPRGLFL,BKPR.GL.UODEAMTZ,0x111f0c
BKPRGLFL,BKPR.GL.UODECLC.,0x111544
BKPRGLFL,BKPR.GL.UODEDPT,0x111414
BKPRGLFL,BKPR.GL.UODFICAn,0x11270c
BKPRGLFL,BKPR.GL.UODFIT Z,0x112014
BKPRGLFL,BKPR.GL.UODNAMEV,0x112144
BKPRGLFL,BKPR.GL.UODPTX F,0x1120ac
BKPRGLFL,BKPR.GL.WCACCT Z,0x10e8ac
BKPRGLFL,BKPR.GL.WCDPT  d,0x10e814
BKPRGLFL,BKPR.GL.WCEXD  6,0x110544
BKPRINFO,BKPR.INFO.AMT,0x113814
