code,module,operation,group,module_name,menu_text,program
QCB,QC,B,Mfg,Quality Control,&B - Quality Control Materials Report,T7QCB.RWN
QCC,QC,C,Mfg,Quality Control,&C - Production Scrap Report,T7QCC.RWN
QCD,QC,D,Mfg,Quality Control,&D - Quality Control Labor Report,T7QCD.RWN
QCE,QC,E,Mfg,Quality Control,&E - Vendor Quality Performance,t7pojd.rwn
QCF,QC,F,Mfg,Quality Control,&F - Non-Conformance Reporting,
QCFA,QC,FA,Mfg,Quality Control,&A - Enter NCR,T7QCFA.RWN
QCFB,QC,FB,Mfg,Quality Control,&B - Print NCR,T7QCFB.RWN
QCFC,QC,FC,Mfg,Quality Control,&C - Disposition NCR,T7QCFC.RWN
QCFD,QC,FD,Mfg,Quality Control,&D - Close NCR,T7QCFD.RWN
QCFE,QC,FE,Mfg,Quality Control,&E - View NCR,T7QCFE.RWN
QCFF,QC,FF,Mfg,Quality Control,&F - NCR Listing,T7QCFF.RWN
QCG,QC,G,Mfg,Quality Control,&G - Corrective Action,
QCGA,QC,GA,Mfg,Quality Control,&A - Enter CAR,T7QCGA.RWN
QCGB,QC,GB,Mfg,Quality Control,&B - Print CAR,T7QCGB.RWN
QCGC,QC,GC,Mfg,Quality Control,&C - View CAR,T7QCGC.RWN
QCGD,QC,GD,Mfg,Quality Control,&D - List CAR,T7QCGD.RWN
QCH,QC,H,Mfg,Quality Control,&H - QC Defaults,T7DSQC.RWN
QUA,QU,A,Queries,Queries & Reports,&A - Master Inquiry,t7csi.rwn
QUB,QU,B,Queries,Queries & Reports,&B - Calendar Drill Down,caldrillbt.rwn
QUC,QU,C,Queries,Queries & Reports,&C - Calendar Summary Report,isshpcal2.rwn
QUD,QU,D,Queries,Queries & Reports,&D - Business Status,t7jbs.rwn
QUE,QU,E,Queries,Queries & Reports,&E - Quick Grid Lookup,t7qgrid.rwn
QUF,QU,F,Queries,Queries & Reports,&F - Query Executor,queryexecute.rwn
RMA,RM,A,Sales,RMA,&A - Enter RMA,t7rma.rwn
RMB,RM,B,Sales,RMA,&B - Print RMA,T7RMB.RWN
RMC,RM,C,Sales,RMA,&C - Receive RMA,T7RMC.RWN
RMD,RM,D,Sales,RMA,&D - Disposition RMA,T7RMD.RWN
RME,RM,E,Sales,RMA,&E - Enter RMA Return Codes,T7RME.RWN
RMF,RM,F,Sales,RMA,&F - RMA/Service & Repair Defaults,T7DSRMA.RWN
RMG,RM,G,Sales,RMA,&G - Reason Codes Report,t7rmg.rwn
ROA,RO,A,Items,Routings,&A - Enter Routings,t7roa.rwn
ROB,RO,B,Items,Routings,&B - Print/Rollup Routings Costs,t7rob.rwn
ROC,RO,C,Items,Routings,&C - Work Centers,t7roc.rwn
ROD,RO,D,Items,Routings,&D - Enter Machines,t7rod.rwn
ROE,RO,E,Items,Routings,&E - Enter Tools,t7roe.rwn
ROF,RO,F,Items,Routings,&F - Enter QC Codes,t7rof.rwn
ROG,RO,G,Items,Routings,&G - Enter Scrap Codes,T7ROG.RWN
ROH,RO,H,Items,Routings,&H - Enter Departments,t7roh.rwn
ROI,RO,I,Items,Routings,&I - Enter Operation Templates,t7roi.rwn
ROJ,RO,J,Items,Routings,&J - Reports,
ROJA,RO,JA,Items,Routings,&A - Print Routings,t7roja.rwn
ROJB,RO,JB,Items,Routings,&B - Print Work Centers,t7rojb.rwn
ROJC,RO,JC,Items,Routings,&C - Print Machines,t7rojc.rwn
ROJD,RO,JD,Items,Routings,&D - Print Tools,T7ROJD.RWN
ROJE,RO,JE,Items,Routings,&E - Print QC Codes,t7roje.rwn
ROJF,RO,JF,Items,Routings,&F - Print Scrap Codes,t7rojf.rwn
ROJG,RO,JG,Items,Routings,&G - Print Departments,t7rojg.rwn
ROJH,RO,JH,Items,Routings,&H - Print Operation Templates,t7rojh.rwn
ROK,RO,K,Items,Routings,&K - Enter Specifications Templates,t7rok.rwn
ROL,RO,L,Items,Routings,&L - Enter Sequence Print Control,t7rol.rwn
ROM,RO,M,Items,Routings,&M - Enter Testing Method,t7qcmthd.rwn
RON,RO,N,Items,Routings,&N - Enter Testing Requirements,t7qcspec.rwn
ROO,RO,O,Items,Routings,&O - Routings Defaults,T7DSRO.RWN
ROP,RO,P,Items,Routings,&P - Update Processing Cost Standards,t7rop.rwn
SAA,SA,A,Sales,Sales Analysis,&A - Print Daily Sales/Bookings,t7saa.rwn
SAB,SA,B,Sales,Sales Analysis,&B - Print Profit by Invoice,T7SAB.RWN
SAC,SA,C,Sales,Sales Analysis,&C - Print Customer Detail,T7SAC.RWN
SAD,SA,D,Sales,Sales Analysis,&D - Print Customer Summary,T7SAD.RWN
SAE,SA,E,Sales,Sales Analysis,&E - Print Customer Class Detail,T7SAE.RWN
SAF,SA,F,Sales,Sales Analysis,&F - Charts and Export,
SAFA,SA,FA,Sales,Sales Analysis,&A - Profit by Invoice,t7jsapbi.rwn
SAFB,SA,FB,Sales,Sales Analysis,&B - Sales by Customer,t7jsacc.rwn
SAFC,SA,FC,Sales,Sales Analysis,&C - Sales by Salesperson,t7jsasrs.rwn
SAFD,SA,FD,Sales,Sales Analysis,&D - Sales by Item/Class,t7jsaic.rwn
SAG,SA,G,Sales,Sales Analysis,&G - Print Customer Class Summary,T7SAG.RWN
SAH,SA,H,Sales,Sales Analysis,&H - Print Salesperson Detail,T7SAH.RWN
SAI,SA,I,Sales,Sales Analysis,&I - Print Salesperson Summary,T7SAI.RWN
SAJ,SA,J,Sales,Sales Analysis,&J - Print Inventory Detail,T7SAJ.RWN
SAL,SA,L,Sales,Sales Analysis,&L - Print Product Class,T7SAL.RWN
SAM,SA,M,Sales,Sales Analysis,&M - Print User-Defined Detail,t7sam.rwn
SAN,SA,N,Sales,Sales Analysis,&N - Print User-Defined Summary,t7san.rwn
SAO,SA,O,Sales,Sales Analysis,&O - Top Customer Report,T7SAO.RWN
SAP,SA,P,Sales,Sales Analysis,&P - Print Sales With Surcharge Rolled Up,t7sap.rwn
SCA,SC,A,Items,Serial Control,&A - Edit Serial Numbers,t7sca.rwn
SCB,SC,B,Items,Serial Control,&B - Assign Serial Control,t7scb.rwn
SCC,SC,C,Items,Serial Control,&C - Print Serial Availability,t7scc.rwn
SCD,SC,D,Items,Serial Control,&D - Print Serial History,T7SCD.RWN
SCE,SC,E,Items,Serial Control,&E - Archive Serial Numbers,t7sce.rwn
SCF,SC,F,Items,Serial Control,&F - Serial Control Exception Report,t7scf.rwn
SCG,SC,G,Items,Serial Control,&G - Enter Serial Generation Parameters,t7scg.rwn
SCH,SC,H,Items,Serial Control,&H - Serial Traceability Report,t7sch.rwn
SDA,SD,A,System Mgr,System Defaults,&A - Company Defaults,T7DSCO.rwn
SDB,SD,B,System Mgr,System Defaults,&B - Work Order Defaults,t7dswo.rwn
SDC,SD,C,System Mgr,System Defaults,&C - Purchase Order Defaults,t7dspo.rwn
SDD,SD,D,System Mgr,System Defaults,&D - MRP Defaults,t7dsmrp.rwn
SDE,SD,E,System Mgr,System Defaults,&E - Scheduling Defaults,t7dssh.rwn
SDF,SD,F,System Mgr,System Defaults,&F - Data Collection Defaults,t7dsdc.rwn
SDG,SD,G,System Mgr,System Defaults,&G - Estimating Defaults,t7dsest.rwn
SDH,SD,H,System Mgr,System Defaults,&H - Inventory Defaults,t7dsic.rwn
SDI,SD,I,System Mgr,System Defaults,&I - Routings Defaults,t7dsro.rwn
SDJ,SD,J,System Mgr,System Defaults,&J - Bills of Material Defaults,t7dsbom.rwn
SDL,SD,L,System Mgr,System Defaults,&L - Features and Options Defaults,t7dsfo.rwn
SDM,SD,M,System Mgr,System Defaults,&M - Sales Orders Defaults,t7dsso.rwn
SDN,SD,N,System Mgr,System Defaults,&N - Sales Commissions Defaults,t7dscs.rwn
SDO,SD,O,System Mgr,System Defaults,&O - Contact Manager Defaults,t7dscm.rwn
SDP,SD,P,System Mgr,System Defaults,&P - Customer/AR Defaults,t7dsar.rwn
SDQ,SD,Q,System Mgr,System Defaults,&Q - Master Default Settings,t7mdefaults.rwn
SDR,SD,R,System Mgr,System Defaults,&R - Assign Next Document Numbers,t7numdef.rwn
SDS,SD,S,System Mgr,System Defaults,&S - Warehouse Control Defaults,t7dswc.rwn
SDT,SD,T,System Mgr,System Defaults,&T - Service/RMA Defaults,t7dsrma.rwn
SDU,SD,U,System Mgr,System Defaults,&U - Hand-Held Defaults,t7dshh.rwn
SDV,SD,V,System Mgr,System Defaults,&V - International Setting Defaults,T7DSIM.RWN
SHA,SH,A,Mfg,Scheduling,&A - Edit WO Start/Finish/Due Dates,t7sha.rwn
SHB,SH,B,Mfg,Scheduling,&B - Manually Schedule Work Orders,t7shb.rwn
SHC,SH,C,Mfg,Scheduling,&C - Manually Schedule Work Centers,t7shc.rwn
SHD,SH,D,Mfg,Scheduling,&D - Manually Schedule Machines,machineview.rwn
SHE,SH,E,Mfg,Scheduling,&E - Finite Scheduling,t7she.rwn
SHF,SH,F,Mfg,Scheduling,&F - Infinite Scheduling,t7shf.rwn
SHG,SH,G,Mfg,Scheduling,&G - Print Work Order Schedule,t7shg.rwn
SHH,SH,H,Mfg,Scheduling,&H - Print Work Order Status,t7shh.rwn
SHI,SH,I,Mfg,Scheduling,&I - Print Work Center Schedule,t7shi.rwn
SHJ,SH,J,Mfg,Scheduling,&J - Print Machine Schedule,t7shj.rwn
SHK,SH,K,Mfg,Scheduling,&K - View Work Center Load,t7shk.rwn
SHL,SH,L,Mfg,Scheduling,&L - View or Calculate Work Center Load,workcenterload.rwn
SHM,SH,M,Mfg,Scheduling,&M - Lead Time Estimator,t7shm.rwn
SHN,SH,N,Mfg,Scheduling,&N - Generate Lead Times,t7shn.rwn
SHO,SH,O,Mfg,Scheduling,&O - Finite Schedule Bucket Report,t7sho.rwn
SHP,SH,P,Mfg,Scheduling,&P - Lead Time Scheduling,t7shp.rwn
SHQ,SH,Q,Mfg,Scheduling,&Q - Scheduling Defaults,T7DSSH.RWN
SHR,SH,R,Mfg,Scheduling,&R - Work Center Scheduler,T7VSCHED.RWN
SMA,SM,A,System Mgr,System Maintenance,&A - Enter Customers,t7ara.rwn
SMB,SM,B,System Mgr,System Maintenance,&B - Enter Vendors,t7apa.rwn
SMC,SM,C,System Mgr,System Maintenance,&C - Enter Classes,
SMCA,SM,CA,System Mgr,System Maintenance,&A - Enter Item Classes,T7SMCA.RWN
SMCB,SM,CB,System Mgr,System Maintenance,&B - Enter Customer Classes,T7SMCB.RWN
SMCC,SM,CC,System Mgr,System Maintenance,&C - Enter Vendor Classes,T7SMCC.RWN
SMD,SM,D,System Mgr,System Maintenance,&D - Enter Terms Table,t7smd.rwn
SME,SM,E,System Mgr,System Maintenance,&E - Enter Tax Codes,t7sme.rwn
SMF,SM,F,System Mgr,System Maintenance,&F - Enter Tax Groups,T7SMF.RWN
SMG,SM,G,System Mgr,System Maintenance,&G - Enter Employees,t7smg.rwn
SMH,SM,H,System Mgr,System Maintenance,&H - Enter Shop Calendar,t7smh.rwn
SMI,SM,I,System Mgr,System Maintenance,&I - Contact Manager Maintenance,
SMIA,SM,IA,System Mgr,System Maintenance,&A - Enter Lead Source Codes,t7smia.rwn
SMIB,SM,IB,System Mgr,System Maintenance,&B - Enter Territory Codes,t7smib.rwn
SMIC,SM,IC,System Mgr,System Maintenance,&C - Enter Reminder Types,t7smic.rwn
SMID,SM,ID,System Mgr,System Maintenance,&D - Enter Class Codes,t7smid.rwn
SMIE,SM,IE,System Mgr,System Maintenance,&E - Enter Key Date Codes,t7smie.rwn
SMIF,SM,IF,System Mgr,System Maintenance,&F - Enter Reasons for Quote Loss,t7smif.rwn
SMJ,SM,J,System Mgr,System Maintenance,&J - File Maintenance Programs,
SMJA,SM,JA,System Mgr,System Maintenance,&A - Work Order File Maintenance,t7smja.rwn
SMJB,SM,JB,System Mgr,System Maintenance,&B - Archive Work Orders,t7smjb.rwn
SMJC,SM,JC,System Mgr,System Maintenance,&C - Reconcile Inventory On-Hand,t7smjc.rwn
SMJD,SM,JD,System Mgr,System Maintenance,&D - Consolidate Inventory Transactions,t7smjd.rwn
SMJE,SM,JE,System Mgr,System Maintenance,&E - Purge Work Orders,t7smje.rwn
SMJF,SM,JF,System Mgr,System Maintenance,&F - Purge Purchase Order History,t7smjf.rwn
SMJG,SM,JG,System Mgr,System Maintenance,&G - Purge/Archive QC Receipts,T7SMJG.RWN
SMJH,SM,JH,System Mgr,System Maintenance,&H - Purge Data Collection File,t7smjh.rwn
SMJI,SM,JI,System Mgr,System Maintenance,&I - Purge/Archive Estimates,T7SMJI.RWN
SMJJ,SM,JJ,System Mgr,System Maintenance,&J - Purge or Archive Closed Sales Orders,T7smjj.rwn
SMJK,SM,JK,System Mgr,System Maintenance,&K - Purge or Archive Invoice History,t7smjk.rwn
SMJL,SM,JL,System Mgr,System Maintenance,&L - Change/Merge Item Numbers,t7smjl.rwn
SMJM,SM,JM,System Mgr,System Maintenance,&M - Change/Merge Customer Codes,t7smjm.rwn
SMJN,SM,JN,System Mgr,System Maintenance,&N - Change/Merge Vendor Codes,t7smjn.rwn
SMJO,SM,JO,System Mgr,System Maintenance,&O - Rebuild Customer/Vendor Credit Info,t7smjo.rwn
SMJP,SM,JP,System Mgr,System Maintenance,&P - Purge or Archive Service RMA Orders,t7smjp.rwn
SMJQ,SM,JQ,System Mgr,System Maintenance,&Q - BOM Recursion Utility,t7smjq.rwn
SMJR,SM,JR,System Mgr,System Maintenance,&R - Archive Purchase Orders,t7smjr.rwn
SMJS,SM,JS,System Mgr,System Maintenance,&S - Purge Inventory Audit Info,t7smjs.rwn
SMJT,SM,JT,System Mgr,System Maintenance,&T - Purge or Archive Sales Quotes,t7smjt.rwn
SMJU,SM,JU,System Mgr,System Maintenance,&U - Configure Vendor User Defined,T7APINFO.RWN
SMJV,SM,JV,System Mgr,System Maintenance,&V - Archive Inventory Transactions,T7INVARCH.RWN
SMK,SM,K,System Mgr,System Maintenance,&K - Evo User Settings,T7SMK.RWN
SMN,SM,N,System Mgr,System Maintenance,&N - Evo Notes Maintenance,
SMNA,SM,NA,System Mgr,System Maintenance,&A - Enter Note Types,T7SMN.RWN
SMNB,SM,NB,System Mgr,System Maintenance,&B - Enter System Notes,EVONOTES.RWN
SMNC,SM,NC,System Mgr,System Maintenance,&C - Synchronize Classic Notes to Evo,T7DBA2EVO.RWN
SMND,SM,ND,System Mgr,System Maintenance,&D - Synchronize Evo Notes to Classic,T7EVO2DBA.RWN
SMNE,SM,NE,System Mgr,System Maintenance,&E - Archive Evo Notes,EVONOTESARCH.RWN
SMNF,SM,NF,System Mgr,System Maintenance,&F - Update Evo Notes,T7SMNF.RWN
SMO,SM,O,System Mgr,System Maintenance,&O - Enter Ship Via Codes,T7SMO.RWN
SMP,SM,P,System Mgr,System Maintenance,&P - Inventory Parameters,
SMPA,SM,PA,System Mgr,System Maintenance,&A - Category Master Maintenance,t7smpa.rwn
SMPB,SM,PB,System Mgr,System Maintenance,&B - User Defined Master Maintenance,t7smpb.rwn
SMPC,SM,PC,System Mgr,System Maintenance,&C - Enter QC Codes,T7ROF.RWN
SMPD,SM,PD,System Mgr,System Maintenance,&D - Enter Scrap Codes,T7ROG.RWN
SMPE,SM,PE,System Mgr,System Maintenance,&E - Define Inventory User Defined Fields,T7UDFINV.RWN
SMPF,SM,PF,System Mgr,System Maintenance,&F - Enter Job Listing,T7SMPF.RWN
SMPG,SM,PG,System Mgr,System Maintenance,&G - Enter WO Priorities,T7WOPRIO2.RWN
SMPH,SM,PH,System Mgr,System Maintenance,&H - Enter Cycle Codes,T7SMPH.RWN
SMPI,SM,PI,System Mgr,System Maintenance,&I - Enter Defect Codes,T7SMPI.RWN
SMR,SM,R,System Mgr,System Maintenance,&R - Multi-Language Maintenance,T7MLC.RWN
SMS,SM,S,System Mgr,System Maintenance,&S - Evo Links,
SMSA,SM,SA,System Mgr,System Maintenance,&A - Enter Evo Links,EVOLINKS.RWN
SMSB,SM,SB,System Mgr,System Maintenance,&B - Broken Links Report,T7SMSB.RWN
SMSC,SM,SC,System Mgr,System Maintenance,&C - Vendor Invoice Links Defaults,T7SMSC.RWN
SMSD,SM,SD,System Mgr,System Maintenance,&D - Vendor Invoice Links,T7SMSD.RWN
SMT,SM,T,System Mgr,System Maintenance,&T - Enter Java Settings,T7JSETTINGS.RWN
SMU,SM,U,System Mgr,System Maintenance,&U - Enter Customer Ship Via,T7SMU.RWN
SMV,SM,V,System Mgr,System Maintenance,&V - Download Updates,T7JUPD.RWN
SOA,SO,A,Sales,Sales Orders,&A - Enter Sales Orders,T7SOA.RWN
SOB,SO,B,Sales,Sales Orders,&B - Print Acknowledgements,t7sob.rwn
SOC,SO,C,Sales,Sales Orders,&C - Print Packing Slips,t7soc.rwn
SOD,SO,D,Sales,Sales Orders,&D - Print Shipping Labels,t7sod.rwn
SOE,SO,E,Sales,Sales Orders,&E - Release Sales Orders,t7soe.rwn
SOF,SO,F,Sales,Sales Orders,&F - Print Invoices,t7sof.rwn
SOG,SO,G,Sales,Sales Orders,&G - Post Invoices,t7sog.rwn
SOH,SO,H,Sales,Sales Orders,&H - Display Invoice History,t7soh.rwn
SOI,SO,I,Sales,Sales Orders,&I - Customer Service Inquiry,t7jsoi.rwn
SOJ,SO,J,Sales,Sales Orders,&J - Enter Recurring Sales Orders,t7soj.rwn
SOK,SO,K,Sales,Sales Orders,&K - Generate Recurring Sales Orders,t7sok.rwn
SON,SO,N,Sales,Sales Orders,&N - Convert Sales Orders to Work Orders,t7son.rwn
SOO,SO,O,Sales,Sales Orders,&O - Reports,
SOOA,SO,OA,Sales,Sales Orders,&A - Print Open Sales Order Listing,t7sooa.rwn
SOOB,SO,OB,Sales,Sales Orders,&B - Print Backorder Listing,t7soob.rwn
SOOC,SO,OC,Sales,Sales Orders,&C - Reprint Invoice,T7sooc.rwn
SOOD,SO,OD,Sales,Sales Orders,&D - Print Commissions by Sales Order,t7sood.rwn
SOOE,SO,OE,Sales,Sales Orders,&E - Print Shipping Schedule,t7sooe.rwn
SOOF,SO,OF,Sales,Sales Orders,&F - Print Available to Ship,t7soof.rwn
SOOG,SO,OG,Sales,Sales Orders,&G - Print Sales Order/Work Order Schedu,t7soog.rwn
SOOH,SO,OH,Sales,Sales Orders,&H - Print Invoice Listing,t7sooh.rwn
SOOI,SO,OI,Sales,Sales Orders,&I - Print Released Sales Orders,t7sooi.rwn
SOOJ,SO,OJ,Sales,Sales Orders,&J - Print User-Defined Detail,t7sooj.rwn
SOOK,SO,OK,Sales,Sales Orders,&K - Print User-Defined Summary,t7sook.rwn
SOOM,SO,OM,Sales,Sales Orders,&M - Print Changes to Sales Orders,t7soom.rwn
SOON,SO,ON,Sales,Sales Orders,&N - Print On Time Delivery Performance,t7soon.rwn
SOP,SO,P,Sales,Sales Orders,&P - Sales Quotes and Misc.,
SOPA,SO,PA,Sales,Sales Orders,&A - Enter Sales Quotations,t7sopa.rwn
SOPB,SO,PB,Sales,Sales Orders,&B - Print Sales Quotations,t7sopb.rwn
SOPC,SO,PC,Sales,Sales Orders,&C - Convert Sales Quotations,t7sopc.rwn
SOPD,SO,PD,Sales,Sales Orders,&D - Sales Quotation Detail Report,t7sopd.rwn
SOPE,SO,PE,Sales,Sales Orders,&E - Sales Quotation Summary Report,t7sope.rwn
SOPF,SO,PF,Sales,Sales Orders,&F - Release Blanket Order,T7SOPF.RWN
SOPI,SO,PI,Sales,Sales Orders,&I - Enter Freight & Tracking Information,t7sopi.rwn
SOPJ,SO,PJ,Sales,Sales Orders,&J - Post Shipped Items,t7sopj.rwn
SOPK,SO,PK,Sales,Sales Orders,&K - Edit Posted Invoice,t7sopk.rwn
SOPL,SO,PL,Sales,Sales Orders,&L - Print Changes to Quotes,t7sopl.rwn
SOPM,SO,PM,Sales,Sales Orders,&M - Converted Quote Report,t7sopm.rwn
SOPN,SO,PN,Sales,Sales Orders,&N - Convert SO to PO,t7sopo.rwn
SOPP,SO,PP,Sales,Sales Orders,&P - Edis Estimated Ship Dates,t7sopp.rwn
SOQ,SO,Q,Sales,Sales Orders,&Q - Pricing,
SOQA,SO,QA,Sales,Sales Orders,&A - Enter Base Prices,t7soqa.rwn
SOQB,SO,QB,Sales,Sales Orders,&B - Print Base Prices,t7soqb.rwn
SOQC,SO,QC,Sales,Sales Orders,&C - Global Price Change,t7soqc.rwn
SOQD,SO,QD,Sales,Sales Orders,&D - Enter Price Codes,t7soqd.rwn
SOQE,SO,QE,Sales,Sales Orders,&E - Print Price Codes,t7soqe.rwn
SOQF,SO,QF,Sales,Sales Orders,&F - Enter Discount Codes,t7soqf.rwn
SOQG,SO,QG,Sales,Sales Orders,&G - Print Discount Codes,t7soqg.rwn
SOQH,SO,QH,Sales,Sales Orders,&H - Enter Contract Prices,t7soqh.rwn
SOQI,SO,QI,Sales,Sales Orders,&I - Print Contract Prices,t7soqi.rwn
SOQJ,SO,QJ,Sales,Sales Orders,&J - Generate Base Prices,t7soqj.rwn
SOQK,SO,QK,Sales,Sales Orders,&K - Print Catalog,t7soqk.rwn
SOQL,SO,QL,Sales,Sales Orders,&L - SO Price Change,t7soql.rwn
SOR,SO,R,Sales,Sales Orders,&R - Void Invoice,t7sor.rwn
SOS,SO,S,Sales,Sales Orders,&S - Mass Release Sales Orders,T7sos.rwn
SOT,SO,T,Sales,Sales Orders,&T - Sales Order Inquiry,T7SOT.rwn
SOU,SO,U,Sales,Sales Orders,&U - Sales Order Defaults,T7DSSO.RWN
SRA,SR,A,Sales,Service and Repair,&A - Enter Service/Repair,T7SRA.RWN
SRB,SR,B,Sales,Service and Repair,&B - Print Service/Repair,T7SRB.RWN
SRC,SR,C,Sales,Service and Repair,&C - Convert S/R to Work Order,T7SRC.RWN
SRD,SR,D,Sales,Service and Repair,&D - Print S/R Packing Slips,T7SRD.RWN
SRE,SR,E,Sales,Service and Repair,&E - Release Service/Repairs,T7SRE.RWN
SRF,SR,F,Sales,Service and Repair,&F - Print S/R Invoices,T7SRF.RWN
SRG,SR,G,Sales,Service and Repair,&G - Post S/R Invoices,T7SRG.RWN
SRH,SR,H,Sales,Service and Repair,&H - RMA & Service & Repair Defaults,T7DSRMA.RWN
SRI,SR,I,Sales,Service and Repair,&I - Void S/R Invoice,T7SRI.RWN
SUA,SU,A,Queries,Query & Report Setup,&A - Maintain Grid Lookups,wbklugrid.rwn
SUB,SU,B,Queries,Query & Report Setup,&B - Maintain Drill Down Menus,evoerpdrillm.rwn
SUC,SU,C,Queries,Query & Report Setup,&C - Forms Editor,reports.int
SUD,SU,D,Queries,Query & Report Setup,&D - Grid Maintenance,t7gdm.rwn
TAA,TA,A,?,?,&A - Run TAS Program,RUNPRG.INT
TAB,TA,B,?,?,&B - Change Company Code,GETCO.INT
TAC,TA,C,?,?,&C - Set Configuration,CONFIG.INT
TAD,TA,D,?,?,&D - Maintain Database,WTASDATAM.RWN
TAE,TA,E,?,?,&E - Initialize Database,WTASINIT.RWN
TAF,TA,F,?,?,&F - Maintain Location File,WTASFLOC.RWN
TAG,TA,G,?,?,&G - Maintain Menu Access Records,WBKMENUSETUP.RWN
TAH,TA,H,?,?,&H - Maint Menu Access - End User,WBKMENUSUEU.RWN
TAI,TA,I,?,?,&I - Update File Structures,WTASMERGE.RWN
TAM,TA,M,?,?,&M - RTM Editor,REPORTS.INT
TAN,TA,N,?,?,&N - Program Scheduler,evoscheduler.rwn
TAO,TA,O,?,?,&O - Backup Utility,EvoERPbackup.rwn
TAP,TA,P,?,?,&P - Change Password,PASSWORD.INT
TAQ,TA,Q,?,?,&Q - Change Logo Image,Evologo.rwn
TAR,TA,R,?,?,&R - SQL Editor,T7JSQL.RWN
TAS,TA,S,?,?,&S - Data Dictionary Check,T7DDCHECK.RWN
USA,US,A,Settings,User Settings,&A - Customize Settings,T7SMK.RWN
USB,US,B,Settings,User Settings,&B - Customize Menu,WBKMENUSUEU.RWN
USC,US,C,Settings,User Settings,&C - Reset Screen Size/Locations,t7resetdfm.RWN
USD,US,D,Settings,User Settings,&D - Change Password,PASSWORD.INT
USE,US,E,Settings,User Settings,&E - Update PO Electronic Signature Info,T7DIGSIG.RWN
USF,US,F,Settings,User Settings,&F - Enter Reminders,calrem.rwn
USG,US,G,Settings,User Settings,&G - Enter Triggers,T7USG.RWN
USH,US,H,Settings,User Settings,&H - Update Contract Review Password,T7CTREVU.RWN
UTA,UT,A,System Mgr,Utilities,&A - Run a DBA Program,runprg.int
UTC,UT,C,System Mgr,Utilities,&C - Re-Index File,t7reindex.rwn
UTD,UT,D,System Mgr,Utilities,&D - Edit Data Location File,wtasfloc.rwn
UTE,UT,E,System Mgr,Utilities,&E - Set System Configuration,config.int
UTH,UT,H,System Mgr,Utilities,&H - Print File Layouts,t7uth.rwn
UTI,UT,I,System Mgr,Utilities,&I - Create/Delete Company,t7uti.rwn
UTK,UT,K,System Mgr,Utilities,&K - File Maintenence Programs,
UTKA,UT,KA,System Mgr,Utilities,&A - Clear Data,t7utka.rwn
UTKB,UT,KB,System Mgr,Utilities,&B - Search and Replace,T7FNR.RWN
UTKD,UT,KD,System Mgr,Utilities,&D - Recalc GL Chart of Accounts,t7utkd.rwn
UTKE,UT,KE,System Mgr,Utilities,&E - Consolidate Inventory Locations,T7UTKE.RWN
UTKF,UT,KF,System Mgr,Utilities,&F - Set Avg and Last Cost to Std Cost,t7utkf.rwn
UTKG,UT,KG,System Mgr,Utilities,&G - Recalc Inventory Book Value,t7utkg.rwn
UTKH,UT,KH,System Mgr,Utilities,&H - Recalc Avg Cost fr FIFO/LIFO Bucket,T7UTKH.RWN
UTKI,UT,KI,System Mgr,Utilities,&I - Fix Binary Zeroes,t7bzfix.rwn
WCA,WC,A,Items,Warehouse Control,&A - Enter Warehouse Bin Locations,T7WCA.RWN
WCB,WC,B,Items,Warehouse Control,&B - Assign Warehouse Control,T7WCB.RWN
WCC,WC,C,Items,Warehouse Control,&C - Assign Bins to Items,T7WCC.RWN
WCE,WC,E,Items,Warehouse Control,&E - Print Bin Inventory Listing,T7WCE.RWN
WCF,WC,F,Items,Warehouse Control,&F - Print Bin Inventory Exceptions,T7WCF.RWN
WCG,WC,G,Items,Warehouse Control,&G - Warehouse Control Defaults,T7DSWC.RWN
WOA,WO,A,Mfg,Work Orders,&A - Enter Work Orders,t7woa.rwn
WOB,WO,B,Mfg,Work Orders,&B - Release Work Orders,t7wob.rwn
WOC,WO,C,Mfg,Work Orders,&C - Print Travelers,t7woc.rwn
WOD,WO,D,Mfg,Work Orders,&D - Print Pick Lists,t7wod.rwn
WOE,WO,E,Mfg,Work Orders,&E - Print Labor Cards/Labels,t7woe.rwn
WOF,WO,F,Mfg,Work Orders,&F - Enter Labor,T7WOF.RWN
WOG,WO,G,Mfg,Work Orders,&G - Issue Materials,t7wog.rwn
WOH,WO,H,Mfg,Work Orders,&H - Enter Misc/Extra Costs,T7WOH.RWN
WOI,WO,I,Mfg,Work Orders,&I - Enter Finished Production,t7woi.rwn
WOJ,WO,J,Mfg,Work Orders,&J - Close/Cancel Work Orders,t7woj.rwn
WOK,WO,K,Mfg,Work Orders,&K - Work Order Maintenance Programs,
WOKA,WO,KA,Mfg,Work Orders,&A - Enter Work Order Routings,T7WOKA.RWN
WOKB,WO,KB,Mfg,Work Orders,&B - Enter Work Order Bills of Material,t7wokb.rwn
WOKC,WO,KC,Mfg,Work Orders,&C - Create Multi-Date Work Orders,t7wokc.rwn
WOKD,WO,KD,Mfg,Work Orders,&D - Create Multi-Assy Work Orders,t7wokd.rwn
WOKE,WO,KE,Mfg,Work Orders,&E - Swap Substitute Parts,T7WOKE.RWN
WOKF,WO,KF,Mfg,Work Orders,&F - Edit Sequence Started/Finished Date,t7wokf.rwn
WOKG,WO,KG,Mfg,Work Orders,&G - Recalculate Projected Hours,t7wokg.rwn
