logical_table,physical_file,location
BKARINV,ISARAINV,DEFAULT
BKARINV,ISESAHDR,DEFAULT
BKARINV,ISESTAQT,DEFAULT
BKARINV,ISESTHDR,DEFAULT
BKARINV,ISRMAINV,DEFAULT
BKARINV,ISRMINV,DEFAULT
BKARINV,ISSEDH,DEFAULT
BKARINV,ISSESH,DEFAULT
BKARINV,ISSQTH,DEFAULT
BKARINV,ISSRAINV,DEFAULT
BKARINV,ISSRCH,DEFAULT
BKARINV,ISSRINV,DEFAULT
BKARINV,ISSRMH,DEFAULT
BKARINV,ISSRMINV,DEFAULT
BKARINV,ISSSOH,DEFAULT
BKARINV,ISSSRH,DEFAULT
BKARINV,BKARHINV,TESTDATA
BKARINV,BKARINV,TESTDATA
BKARINV,BKARRINV,TESTDATA
BKARINV,BKEDIH,TESTDATA
BKARINV,BKESTQT,TESTDATA
BKARINV,ISARAHIN,TESTDATA
BKARINV,ISARAINV,TESTDATA
BKARINV,ISESAHDR,TESTDATA
BKARINV,ISESTAQT,TESTDATA
BKARINV,ISESTHDR,TESTDATA
BKARINV,ISRMAINV,TESTDATA
BKARINV,ISRMINV,TESTDATA
BKARINV,ISSEDH,TESTDATA
BKARINV,ISSESH,TESTDATA
BKARINV,ISSQTH,TESTDATA
BKARINV,ISSRAINV,TESTDATA
BKARINV,ISSRCH,TESTDATA
BKARINV,ISSRINV,TESTDATA
BKARINV,ISSRMH,TESTDATA
BKARINV,ISSRMINV,TESTDATA
BKARINV,ISSSOH,TESTDATA
BKARINV,ISSSRH,TESTDATA
BKARINVI,BKARINVI,DEFAULT
BKARINVI,ISARAIVI,DEFAULT
BKARINVI,BKARINVI,TESTDATA
BKARINVI,ISARAIVI,TESTDATA
BKARINVL,BKARHIVL,DEFAULT
BKARINVL,BKARINVL,DEFAULT
BKARINVL,BKARRIVL,DEFAULT
BKARINVL,BKARSIVL,DEFAULT
BKARINVL,BKEDIL,DEFAULT
BKARINVL,BKESTQTL,DEFAULT
BKARINVL,ISARAHIL,DEFAULT
