file_id,field_id,index_num,part_num
1,1,0,0
1,1,1,0
1,1,2,1
1,2,1,0
1,2,6,0
1,2,7,1
1,2,7,3
1,2,7,4
1,2,8,2
1,2,8,3
1,2,10,4
1,2,12,4
1,3,14,0
1,3,14,2
1,3,15,1
1,3,16,2
1,3,17,2
1,14,0,14
1,19,0,19
1,512,2,1
1,514,2,1
1,515,1,0
1,516,2,1
1,517,2,1
1,527,1,1
1,784,3,0
1,848,0,0
1,1029,1,0
1,1807,1,1
1,1808,1,1
1,1809,1,1
1,2560,1,1
1,2564,1,0
1,2566,1,1
1,2567,1,0
1,2575,1,0
1,3074,2,0
1,3333,1,1
1,3344,1,1
1,3345,1,1
1,3587,2,0
1,3841,1,0
1,3842,1,1
1,3852,1,1
1,3853,1,1
1,3856,1,1
1,4098,1,0
1,4099,3,0
1,4105,1,1
1,4106,1,1
1,4108,1,1
1,4109,1,1
1,4612,2,0
1,4615,0,0
1,4866,0,0
1,5381,1,1
1,5382,1,1
1,5384,1,0
1,5385,1,1
1,5635,0,0
1,5889,1,1
1,5890,1,1
1,5893,1,1
1,5893,3,0
1,6406,3,0
1,6663,1,0
1,6670,1,1
1,7169,1,1
1,7171,1,1
1,7173,0,0
1,7175,3,0
1,7176,1,0
1,7182,1,1
1,7936,1,0
1,7937,1,1
1,7939,1,1
1,7944,3,0
1,7947,1,1
1,8201,2,0
1,8450,1,0
1,8455,1,1
1,8456,1,0
1,8457,1,1
1,8465,1,1
1,9729,1,0
1,9743,1,0
1,10508,1,1
1,10509,1,1
1,10510,1,1
1,10511,1,1
1,10512,1,1
1,10513,1,1
1,10765,3,0
1,11008,1,0
1,11013,1,1
1,11014,1,1
1,11019,0,0
1,11019,1,0
1,11025,1,0
1,11777,1,1
1,11790,1,0
1,11790,2,0
1,12044,0,0
1,12294,1,1
1,12297,1,1
1,12299,1,1
1,12301,1,1
1,12303,2,0
1,13070,1,1
1,13073,1,1
1,13577,1,0
1,14594,1,1
1,14595,1,1
1,14597,1,0
1,14605,1,1
1,14606,1,1
1,14608,0,0
1,15104,2,0
1,15109,1,1
1,15110,1,1
1,15116,1,0
1,15872,1,1
1,15873,1,0
1,15879,1,1
1,15885,1,1
1,15886,1,1
1,16128,3,0
1,16386,1,1
1,16390,1,0
1,16896,1,1
1,16897,1,1
1,16898,1,1
1,16899,1,1
1,16905,1,1
1,16906,1,1
1,17154,1,0
1,17158,1,0
1,17923,3,0
1,17928,1,0
1,17929,1,0
1,19202,1,1
1,19203,1,0
1,19204,1,1
1,19205,1,1
1,19211,1,1
1,19212,1,1
1,19462,2,0
1,19714,1,1
1,19716,1,1
1,19717,1,0
1,19727,1,0
1,20742,1,0
1,20744,1,1
1,20745,2,0
1,21256,3,0
1,21506,1,0
1,21508,1,1
1,21514,1,1
1,21521,1,1
1,22016,1,1
1,22018,1,0
1,22019,1,1
1,22021,1,1
1,22022,1,1
1,22023,1,1
1,22026,2,0
1,22029,1,0
1,23046,1,0
1,23553,1,1
1,23554,1,1
1,23555,1,1
1,23556,1,1
1,23557,1,1
1,23561,1,1
1,23562,1,0
1,23563,3,0
