code,help_title
IN-L-H,Edit Fifo Lifo Buckets
IN-L-I,Change Costing Method
IN-L-J,Transfer Inventory
IN-L-K,Inventory Exception Report
IN-L-L,Incative Bom Component Report
IN-L-M,Batch Location Transfer
IN-L-N,Copy Item
IN-L-O,Inactive Inventory Utility
IN-L-Q,Enter Inspection Test Procedure Codes
IN-L-R,Intercompany Inventory Transfer
IN-L-S,Rebuild Stock Status
IN-L-T,Reset Cycle Code
IN-L-U,Item Number Configurato
IN-M,Summary Reorder Report
IN-N-A,Print Month End Inventory Costing
IN-N-B,Print Shipments Costing
IN-N-C,Print Closed Work Orders Costing
IN-N-D,Print Inventory To Gl Exceptions
IN-O,User Defined Inventory Transactions
IN-P,Print Inventory Usage
IN-Q,Print Labels With Lot Serial Info
JC-A,Print Job Cost Report
JC-B,Print Profit Projection
JC-C,Print Labor Transactions
JC-D,Print Overhead Transactions
JC-E,Print Material Issues
JC-F,Print Outside Purchase
JC-G,Print Labor Efficiency
JC-H,Print Work Order History
JC-I,Print Production By Work Center
JC-J,Print Production By Machine
JC-K,Print Production By Tool
JC-L,Print Job Cost Summary
JC-M,Print Wip Summary
JC-N,Print Wip Percent Completion
JC-O,Print Standard Labor Hours
JC-P,Print Materials In Wip
JC-Q,Print Work Order Receipts
JC-R,Print Multi Level Job Cost
JC-S,Work Order Detail Report
LC-A,Edit Lot File
LC-B,Assign Lot Control
LC-C,Print Lot Availability
LC-D,Print Lot History
MR-A,Enter Forecast
MR-B,Print Forecast
MR-C,Reset Forecast
MR-D,Enter Mrp Parameters
MR-E,Print Mrp Parameters
MR-F,Generate Mrp Requirements
MR-G,Print Material Requirements
MR-H,Print Order Action Report
MR-I,Generate Work Orders
MR-J,Generate Purchase Orders
MR-K,Generare Rfqs
MR-L,Print Planned Orders Report
MR-N,Apply Delay Action To Pos
PI-A,Capture Frozen Inventory
PI-B,Frozen Inventory Report
PI-C,Enter Tag Counts
PI-D,Print Missing Tags
PI-E,Edit Frozen Inventory Costs
PI-F,Physical Inventory Report
PI-G,Update Actual Inventory
PI-H,Purge Physical Inventory
PO-A,Enter Purchase Orders
PO-B,Print Purchase Orders
PO-C,Receive Purchase Orders
PO-D,View Po Receivers
PO-E,Enter Print Rfqs
PO-F,Enter Verbal Rfqs
PO-G,Convert Rfqs
PO-H,Enter Vendor Prices
PO-I-A,Print Open Purchase Orders Listing
PO-I-B,Print Closed Purchase Orders Listing
PO-I-C,Print Rfq Status
PO-I-D,Print Vendor Prices
PO-I-E,Print Receiving Report
PO-I-F,Print Received Not Invoiced
PO-I-G,Print Purch Order Items
PO-I-H,Vendor Performance Report
PO-J-A,Print Receipt Travelers
PO-J-B,Printinventory In Qc
PO-J-C,Enter Inspection Buyoffs
PO-K,Close Purchase Orders
PO-L,Assign Vendors To Items
PO-M,Purchase Order Inquiry
PO-P,View Vendor Information
PO-Q,Print Receiving Slip
PO-R,Print Receiving Slip Evo Erp 
PO-T,Digitally Sign Purchase Order
PR-A,Enter Employees
PR-B,Enter Pay Info
PR-C,Print Payroll Register
PR-D,Print Payroll Checks
PR-E,Print Employe Information
PR-F,Maintain Tax Tables
PR-G,Void Payroll Check
PR-H,Transfer Liabilities To Ap
PR-I,Print Pay History
PR-J,Enter Time Cards
PR-K,Print Post Time Cards
PR-L-A,Print Quarterly Info
PR-L-B,Print Qtd Earnings Register
PR-L-C,Print Qtd Taxable Earnings
PR-L-D,Print Detail Earnings Ledger
PR-L-E,Print Detail Deductions Ledger
PR-L-F,Print Subject To Report
PR-L-G,Print 941 And Schedule B Reports
PR-L-H,Print 940 Form
PR-L-K,Print Payroll Hours
PR-L-L,Print 941B Forms
PR-L-M,Print Employer Contributions
PR-L-N,Print Payroll Wages Detail
PR-L-P,Print Employee Raises
PR-L-Q,Print Employee Reviews
PR-M,Payroll Division Defaults
PR-N,Purge Payroll History
PR-O,Year End Routine
PR-P,Enter Raise Dates
PR-Q,Enter Review Dates
PR-R,Payroll Defaults
PR-S,Assign Password To Employ
PS-A,System Users Passwords
PS-E,Evo Menu Access By User R
PS-F,Evo Menu Access By Progra
PS-G,Maintain Menu Access
PS-I,Enter Digital Signers For Po
PS-J,Enter Contract Review Signers
QC-A,Quality Control Receiving
QC-B,Quality Control Materials
QC-C,Production Scrap Report
QC-D,Quality Control Labor Rep
QC-E,Vendor Quality Perfirmanc
QC-F-A,Enter Ncr
QC-F-B,Print Ncr
QC-F-C,Disposition Ncr
QC-F-D,Close Ncr
QC-F-E,View Ncr
QC-G-A,Enter Car
QU-A,Master Inquiry
QU-B,Calendar Drill Down
QU-C,Calendar Summary Report
QU-D,Business Status
QU-E,Quick Grid Lookup
QU-F,Query Executor
RM-A,Enter Rma
RM-B,Print Rma
RM-C,Receive Rma
RM-D,Disposition Rma
RM-E,Enter Rma Return Codes
RO-A,Enter Routings
RO-B,Print Rollup Routing Costs
RO-C,Enter Work Centers
RO-D,Enter Machines
RO-E,Enter Tools
RO-F,Enter Qc Codes
RO-G,Enter Scrap Codes
RO-H,Enter Departments
RO-I,Enter Operation Templates
RO-J-A,Print Routings
RO-J-B,Print Work Centers
RO-J-C,Print Machines
RO-J-D,Print Tools
RO-J-E,Print Qc Codes
RO-J-F,Print Scrap Codes
RO-J-G,Print Departments
RO-J-H,Print Operation Templates
RO-K,Enter Specification Templates
RO-L,Enter Sequence Print Control
RO-M,Enter Testing Method
RO-N,Enter Test Requirements
RO-P,Update Processing Cost St
SA-A,Print Daily Sales Bookings
SA-B,Print Profiy By Invoice
SA-C,Print Customer Detail
SA-D,Print Customer Summary
SA-E,Print Customer Class Detail
SA-F-A,Chart Export Profit By Invoice
SA-F-B,Chart Export Customer Detail Summary
SA-F-C,Chart Export Salesperson Summary
SA-F-D,Chart Export Item Sales Analysis
SA-G,Print Customer Class Summary
SA-H,Print Salesperson Detail
SA-I,Print Salesperson Summary
SA-J,Print Inventory Detail
SA-L,Print Product Class
SA-M,Print User Defined Detail
SA-N,Print User Defined Summary
SA-O,Top Customer Report
SA-P,Print Sales Report
SC-A,Edit Serial File
SC-B,Assign Serial Control
SC-C,Print Serial Availability
SC-D,Print Serial History
SC-E,Archive Serial History
SC-F,Serial Control Exception Report
SC-G,Enter Serial Generation Parameters
SC-H,Serial Traceability Report
SD-A,Company Defaults
SD-B,Work Order Defaults
SD-C,Purchase Order Defaults
SD-D,Material Requirements Defaults
SD-E,Scheduling Defaults
SD-F,Data Collection Defaults
SD-G,Estimating Defaults
SD-H,Inventory Defaults
SD-I,Routings Defaults
SD-J,Bill Of Material Defaults
SD-K,Lot And Serial Control Defaults
SD-L,Features And Options Defaults
SD-M,Sales Order Defaults
SD-N,Sales Commission Defaults
SD-O,Contact Manager Defaults
SD-P,Customer Ar Defaults
SD-Q,Master Defaults
SD-R,Assign Next Numbers
SD-S,Warehouse Control Defaults
SD-T,Service Repair And Rma Defaults
SD-U,Hand Held Defaults
SD-V,International Defaults
SH-A,Edit Wo Start Finish Dates
SH-B,Manually Schedule Work Orders
SH-C,Manually Schedile Work Centers
SH-D,Manually Schedule Machines
SH-E,Finite Scheduling
SH-F,Infinte Scheduling
SH-G,Print Work Order Schedule
SH-H,Print Work Order Status
SH-I,Prnt Work Center Schedule
SH-J,Print Machine Schedule
SH-K,View Work Center Load
SH-L,View Or Calculate Work Ce
SH-M,Lead Time Estimator
SH-N,Generate Lead Times
SH-O,Finite Schedule Bucket Report
SH-P,Lead Time Scheduling
SH-R,Work Center Scheduler
SM-A,Enter Customers
SM-B,Enter Vendors
SM-C,Enter Item Classes
SM-D,Enter Terms Table
SM-E,Enter Tax Codes
SM-F,Enter Tax Groups
SM-G,Enter Employees
SM-H,Enter Shop Calendar
SM-I-A,Enter Lead Source Codes
SM-I-B,Enter Territory Codes
SM-I-D,Enter Reminder Types
SM-I-F,Enter Reasons For Loss
SM-I-G,Enter Class Codes
SM-I-H,Enter Key Date Codes
SM-J-A,Work Order File Maintenance
SM-J-B,Archive Work Orders
SM-J-C,Reconcile Inventory On Hand
SM-J-D,Consolicate Invventory Transactions
SM-J-E,Purge Work Orders
SM-J-F,Purge Purchase Order History
SM-J-H,Purge Data Collection File
SM-J-I,Purge Estimates
SM-J-J,Purge Closed Sales Orders
SM-J-L,Change Part Numbers
SM-J-M,Change Customer Codes
SM-J-N,Change Vendor Code
SM-J-O,Rebuild Customer Vendor Credit Info
SM-J-P,Purge Archive Service Rma Orders
SM-J-Q,Bom Recursion Utility
SM-J-S,Purge Inventory Audit I
SM-J-T,Purge Or Archive Sales 
SM-J-U,Configure Vendor Miscel
SM-J-V,Archive Inventory Trans
SM-N-A,Enter Note Types
SM-N-B,Enter System Notes
SM-N-C,Synchronize Classic Notes To Evo
SM-N-D,Synchronize Evo Notes To Classic
SM-P-A,Enter Categories
SM-P-B,Enter User Defined
SM-P-C,Enter Scrap Codes
SM-P-D,Enter Qc Codes
SM-P-E,Define Inventory User Define Fields
SM-P-F,Enter Jobs
SM-P-G,Enter Wo Priority Codes
SM-P-H,Enter Cycle Codes
SM-S,Enter Evo Links
SM-T,Enter Java Settings
SM-U,Enter Customer Ship Via
SM-V,Check For Updates
SO-A,Enter Sales Orders
SO-B,Print Acknowledgments
SO-C,Print Packing Slips
SO-D,Print Shipping Labels
SO-E,Release Sales Orders
SO-F,Print Invoices
SO-G,Post Invoices
SO-H,Display Invoice History
SO-I,Customer Service Inquiry
SO-J,Enter Recurring Sales Orders
SO-K,Generate Recurring Sales Order
