path,status,size_bytes,content_sniff,error,pt_len
\\i2s109-solidcrm\DBAMFG$\T7POJC.RWN,OK,810428,binary_0x4a80,,810428
\\i2s109-solidcrm\DBAMFG$\T7PRLP.RWN,OK,322651,binary_0xf70e,,322651
\\i2s109-solidcrm\DBAMFG$\T7PRN.RWN,OK,283777,binary_0x6bb6,,283777
\\i2s109-solidcrm\DBAMFG$\T7PSE.RWN,OK,190268,binary_0xd845,,190268
\\i2s109-solidcrm\DBAMFG$\T7POA.RWN,OK,1045335,binary_0x314f,,1045335
\\i2s109-solidcrm\DBAMFG$\T7PRO.RWN,OK,287717,binary_0xb260,,287717
\\i2s109-solidcrm\DBAMFG$\T7PROGINFO.RWN,OK,286660,binary_0xac7c,,286660
\\i2s109-solidcrm\DBAMFG$\T7PRP.RWN,OK,277372,binary_0xee49,,277372
\\i2s109-solidcrm\DBAMFG$\T7PRS.RWN,OK,252740,binary_0x02ca,,252740
\\i2s109-solidcrm\DBAMFG$\t7redindexDD.RWN,OK,9720,binary_0x2e9d,,9720
\\i2s109-solidcrm\DBAMFG$\T7PRQ.RWN,OK,276924,binary_0x260e,,276924
\\i2s109-solidcrm\DBAMFG$\T7PRLI.RWN,OK,447195,binary_0x90a9,,447195
\\i2s109-solidcrm\DBAMFG$\T7PSF.RWN,OK,229444,binary_0x33bb,,229444
\\i2s109-solidcrm\DBAMFG$\t7ResetDFM.RWN,OK,7384,binary_0xc894,,7384
\\i2s109-solidcrm\DBAMFG$\T7PRLO.RWN,OK,421767,binary_0xe78d,,421767
\\i2s109-solidcrm\DBAMFG$\T7PSA.RWN,OK,306892,binary_0xbb82,,306892
\\i2s109-solidcrm\DBAMFG$\T7RMC.RWN,OK,7273,binary_0xe4f7,,7273
\\i2s109-solidcrm\DBAMFG$\T7QCFD.RWN,OK,238158,binary_0xaea1,,238158
\\i2s109-solidcrm\DBAMFG$\T7RMB.RWN,OK,54012,binary_0x0189,,54012
\\i2s109-solidcrm\DBAMFG$\T7QCA.RWN,OK,279056,binary_0x4d06,,279056
\\i2s109-solidcrm\DBAMFG$\T7QCB.RWN,OK,287926,binary_0x758c,,287926
\\i2s109-solidcrm\DBAMFG$\T7QCC.RWN,OK,284540,binary_0xaa83,,284540
\\i2s109-solidcrm\DBAMFG$\T7PSK.RWN,OK,307920,binary_0x779c,,307920
\\i2s109-solidcrm\DBAMFG$\T7PUTAWAY.RWN,OK,309921,binary_0x3d73,,309921
\\i2s109-solidcrm\DBAMFG$\T7QCD.RWN,OK,305549,binary_0xeaac,,305549
\\i2s109-solidcrm\DBAMFG$\T7QCMTHD.RWN,OK,247192,binary_0x762c,,247192
\\i2s109-solidcrm\DBAMFG$\T7RMA.RWN,OK,134071,binary_0x16f0,,134071
\\i2s109-solidcrm\DBAMFG$\T7QGRID.RWN,OK,221219,binary_0x9829,,221219
\\i2s109-solidcrm\DBAMFG$\T7QSOALines.RWN,OK,205813,binary_0x8971,,205813
\\i2s109-solidcrm\DBAMFG$\T7REINDEX.RWN,OK,178578,binary_0xa8c9,,178578
\\i2s109-solidcrm\DBAMFG$\T7QTINFO.RWN,OK,200953,binary_0xb2a9,,200953
\\i2s109-solidcrm\DBAMFG$\t7qcfb.RWN,OK,356994,binary_0x723a,,356994
\\i2s109-solidcrm\DBAMFG$\T7QCGD.RWN,OK,284760,binary_0x2e0e,,284760
\\i2s109-solidcrm\DBAMFG$\T7QCFF.RWN,OK,330336,binary_0x28de,,330336
\\i2s109-solidcrm\DBAMFG$\T7QCSPEC.RWN,OK,271387,binary_0x914a,,271387
\\i2s109-solidcrm\DBAMFG$\T7QSOA.RWN,OK,256417,binary_0xcbec,,256417
\\i2s109-solidcrm\DBAMFG$\T7QCRESULTS.RWN,OK,299659,binary_0x378f,,299659
\\i2s109-solidcrm\DBAMFG$\T7REPDEF.RWN,OK,214770,binary_0x53a8,,214770
\\i2s109-solidcrm\DBAMFG$\T7REBQC.RWN,OK,245267,binary_0x2935,,245267
\\i2s109-solidcrm\DBAMFG$\T7QCRSLT.RWN,OK,310229,binary_0xa614,,310229
\\i2s109-solidcrm\DBAMFG$\T7REPLNK.RWN,OK,239205,binary_0x1849,,239205
\\i2s109-solidcrm\DBAMFG$\T7QCGB.RWN,OK,396177,binary_0xc7ea,,396177
\\i2s109-solidcrm\DBAMFG$\T7S1.RWN,OK,7155,binary_0x527e,,7155
\\i2s109-solidcrm\DBAMFG$\T7RME.RWN,OK,216439,binary_0xf4a8,,216439
\\i2s109-solidcrm\DBAMFG$\T7SAB.RWN,OK,7273,binary_0xd2cc,,7273
\\i2s109-solidcrm\DBAMFG$\T7RemindRpt.RWN,OK,297685,binary_0x1f72,,297685
\\i2s109-solidcrm\DBAMFG$\T7QCFA.RWN,OK,483146,binary_0xc32e,,483146
\\i2s109-solidcrm\DBAMFG$\T7SAC.RWN,OK,7273,binary_0x2b23,,7273
\\i2s109-solidcrm\DBAMFG$\T7SAD.RWN,OK,7273,binary_0x749a,,7273
\\i2s109-solidcrm\DBAMFG$\T7RTMVALID.RWN,OK,68685,binary_0xebfd,,68685
\\i2s109-solidcrm\DBAMFG$\T7SAG.RWN,OK,7273,binary_0x3626,,7273
\\i2s109-solidcrm\DBAMFG$\T7SAE.RWN,OK,7273,binary_0x7f75,,7273
\\i2s109-solidcrm\DBAMFG$\T7SAH.RWN,OK,7273,binary_0x3828,,7273
\\i2s109-solidcrm\DBAMFG$\T7SAI.RWN,OK,7273,binary_0xefe9,,7273
\\i2s109-solidcrm\DBAMFG$\T7SAL.RWN,OK,7273,binary_0x36fa,,7273
\\i2s109-solidcrm\DBAMFG$\T7SAJ.RWN,OK,7273,binary_0xdb85,,7273
\\i2s109-solidcrm\DBAMFG$\T7ROF.RWN,OK,216318,binary_0x34a8,,216318
\\i2s109-solidcrm\DBAMFG$\t7rebwo.RWN,OK,351120,binary_0x9b43,,351120
\\i2s109-solidcrm\DBAMFG$\T7QCGA.RWN,OK,483365,binary_0x008c,,483365
\\i2s109-solidcrm\DBAMFG$\T7RFQ.RWN,OK,330356,binary_0xc681,,330356
\\i2s109-solidcrm\DBAMFG$\T7ROD.RWN,OK,255149,binary_0x8f0c,,255149
\\i2s109-solidcrm\DBAMFG$\T7ROH.RWN,OK,216394,binary_0xb6cf,,216394
\\i2s109-solidcrm\DBAMFG$\T7SCD.RWN,OK,7278,binary_0x4a7f,,7278
\\i2s109-solidcrm\DBAMFG$\T7ROG.RWN,OK,235713,binary_0xd929,,235713
\\i2s109-solidcrm\DBAMFG$\T7ROE.RWN,OK,270958,binary_0xd97b,,270958
\\i2s109-solidcrm\DBAMFG$\T7ROI.RWN,OK,265002,binary_0xe945,,265002
\\i2s109-solidcrm\DBAMFG$\T7RMG.RWN,OK,336875,binary_0x372c,,336875
\\i2s109-solidcrm\DBAMFG$\T7ROJC.RWN,OK,258413,binary_0xee9b,,258413
\\i2s109-solidcrm\DBAMFG$\T7ROB.RWN,OK,341750,binary_0xbec8,,341750
\\i2s109-solidcrm\DBAMFG$\T7ROJB.RWN,OK,260139,binary_0x1cba,,260139
\\i2s109-solidcrm\DBAMFG$\T7ROJF.RWN,OK,256853,binary_0xc048,,256853
\\i2s109-solidcrm\DBAMFG$\T7ROJG.RWN,OK,239891,binary_0x8dbd,,239891
\\i2s109-solidcrm\DBAMFG$\T7ROJE.RWN,OK,256411,binary_0xe482,,256411
\\i2s109-solidcrm\DBAMFG$\T7ROK.RWN,OK,235263,binary_0x2dd5,,235263
\\i2s109-solidcrm\DBAMFG$\T7ROL.RWN,OK,234437,binary_0xa3b1,,234437
\\i2s109-solidcrm\DBAMFG$\T7ROJD.RWN,OK,287358,binary_0x654a,,287358
\\i2s109-solidcrm\DBAMFG$\T7ROJH.RWN,OK,264779,binary_0xa234,,264779
\\i2s109-solidcrm\DBAMFG$\T7ROC.RWN,OK,382782,binary_0xe1f6,,382782
\\i2s109-solidcrm\DBAMFG$\T7ROP.RWN,OK,262685,binary_0x7b9c,,262685
\\i2s109-solidcrm\DBAMFG$\T7ROQ.RWN,OK,263511,binary_0x6b81,,263511
\\i2s109-solidcrm\DBAMFG$\T7ROJA.RWN,OK,347689,binary_0x0bd2,,347689
\\i2s109-solidcrm\DBAMFG$\T7ROA.RWN,OK,488433,binary_0xe7dd,,488433
\\i2s109-solidcrm\DBAMFG$\T7SCB.RWN,OK,246662,binary_0x8174,,246662
\\i2s109-solidcrm\DBAMFG$\T7SHK.RWN,OK,88115,binary_0xe8eb,,88115
\\i2s109-solidcrm\DBAMFG$\T7SAQ.RWN,OK,288239,binary_0x793c,,288239
\\i2s109-solidcrm\DBAMFG$\T7SCE.RWN,OK,254766,binary_0xfb3c,,254766
\\i2s109-solidcrm\DBAMFG$\T7SCOMP.RWN,OK,216131,binary_0x6607,,216131
\\i2s109-solidcrm\DBAMFG$\T7SAP.RWN,OK,313212,binary_0xd489,,313212
\\i2s109-solidcrm\DBAMFG$\T7SEPROC.RWN,OK,215130,binary_0x5c3c,,215130
\\i2s109-solidcrm\DBAMFG$\T7SDET.RWN,OK,216628,binary_0x531f,,216628
\\i2s109-solidcrm\DBAMFG$\T7SERR.RWN,OK,215196,binary_0xaa53,,215196
\\i2s109-solidcrm\DBAMFG$\T7SETYPE.RWN,OK,215130,binary_0x7dd8,,215130
\\i2s109-solidcrm\DBAMFG$\T7SCA.RWN,OK,315399,binary_0x841a,,315399
\\i2s109-solidcrm\DBAMFG$\T7SHK2.RWN,OK,88116,binary_0x505d,,88116
